year,eea_cell_code,speciesKey,n,min_coord_uncertainty
2000,1kmE3801N3133,3190653,1,700
2000,1kmE3803N3135,3190653,1,700
2000,1kmE3803N3136,5334351,1,700
2000,1kmE3804N3135,3129663,1,700
2000,1kmE3804N3135,5352251,1,700
2000,1kmE3804N3136,3003979,1,700
2000,1kmE3804N3136,5352251,2,700
2000,1kmE3804N3137,5352251,1,700
2000,1kmE3806N3135,3034825,1,700
2000,1kmE3807N3136,3034825,1,700
2000,1kmE3807N3137,3190653,1,700
2000,1kmE3808N3138,3033865,1,700
2000,1kmE3808N3138,3129663,2,700
2000,1kmE3809N3112,2889173,1,700
2000,1kmE3809N3135,2889173,1,700
2000,1kmE3810N3099,2889173,1,700
2000,1kmE3810N3137,3129663,1,1000
2000,1kmE3811N3099,3021850,1,700
2000,1kmE3811N3099,5352251,1,700
2000,1kmE3811N3100,5329212,1,700
2000,1kmE3811N3100,5361785,1,700
2000,1kmE3811N3102,2891770,1,700
2000,1kmE3811N3137,2865448,1,700
2000,1kmE3811N3137,3033865,1,700
2000,1kmE3813N3134,2650107,1,700
2000,1kmE3814N3096,2889173,1,700
2000,1kmE3814N3133,3034825,1,700
2000,1kmE3815N3136,2650107,1,700
2000,1kmE3815N3142,2889173,1,700
2000,1kmE3819N3107,3034825,1,700
2000,1kmE3820N3091,3034825,1,707
2000,1kmE3820N3121,3034825,1,100
2000,1kmE3820N3142,3034825,1,700
2000,1kmE3820N3145,3003979,1,700
2000,1kmE3821N3105,5329212,1,700
2000,1kmE3821N3106,5421039,1,700
2000,1kmE3825N3105,5421039,1,700
2000,1kmE3825N3145,2889173,1,700
2000,1kmE3826N3115,2889173,1,700
2000,1kmE3826N3118,3021850,1,700
2000,1kmE3826N3119,3034825,1,700
2000,1kmE3826N3120,2891770,1,700
2000,1kmE3827N3119,2889173,1,700
2000,1kmE3827N3125,5389017,1,700
2000,1kmE3827N3142,3189866,1,700
2000,1kmE3827N3143,3034825,1,700
2000,1kmE3828N3130,3021850,1,700
2000,1kmE3828N3130,5352251,1,700
2000,1kmE3829N3096,5352251,1,700
2000,1kmE3829N3097,5352251,1,700
2000,1kmE3829N3104,2889173,1,700
2000,1kmE3829N3138,2889173,1,700
2000,1kmE3829N3141,2891770,1,700
2000,1kmE3829N3145,2889173,1,700
2000,1kmE3830N3118,2889173,1,700
2000,1kmE3830N3145,3034825,1,700
2000,1kmE3830N3150,3039269,1,700
2000,1kmE3831N3098,2889173,1,700
2000,1kmE3831N3140,3021850,1,700
2000,1kmE3831N3140,3025617,1,700
2000,1kmE3831N3140,5352251,1,700
2000,1kmE3831N3144,2867614,1,1000
2000,1kmE3831N3149,5352251,1,700
2000,1kmE3831N3150,3039269,1,700
2000,1kmE3831N3150,3129663,1,700
2000,1kmE3831N3150,5352251,1,700
2000,1kmE3832N3098,2889173,1,700
2000,1kmE3832N3098,3034825,1,700
2000,1kmE3832N3098,5389029,1,700
2000,1kmE3832N3142,3034825,1,700
2000,1kmE3832N3142,5389029,1,700
2000,1kmE3832N3143,5352251,1,700
2000,1kmE3832N3144,2650107,1,1000
2000,1kmE3832N3151,3003979,1,700
2000,1kmE3832N3151,5334351,1,700
2000,1kmE3833N3142,2889173,1,700
2000,1kmE3833N3143,2889173,1,700
