speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
2650107,Azolla filiculoides Lam.,SPECIES,ACCEPTED,Plantae,2650107: Azolla filiculoides Lam.
2703041,Arundo donax L.,SPECIES,ACCEPTED,Plantae,2703041: Arundo donax L.
2765942,Pontederia crassipes Mart.,SPECIES,ACCEPTED,Plantae,2765940: Eichhornia crassipes (Mart.) Solms
2865448,Elodea canadensis Michx.,SPECIES,ACCEPTED,Plantae,2865448: Elodea canadensis Michx.
2865565,Lagarosiphon major (Ridl.) Moss,SPECIES,ACCEPTED,Plantae,2865565: Lagarosiphon major (Ridl.) Moss
2867614,Lemna minuta Kunth,SPECIES,ACCEPTED,Plantae,2867614: Lemna minuta Kunth
2867631,Lemna turionifera Landolt,SPECIES,ACCEPTED,Plantae,2867631: Lemna turionifera Landolt
2870583,Pistia stratiotes L.,SPECIES,ACCEPTED,Plantae,2870583: Pistia stratiotes L.
2882443,Cabomba caroliniana A.Gray,SPECIES,ACCEPTED,Plantae,2882443: Cabomba caroliniana A.Gray
2889088,Reynoutria sachalinensis (F.Schmidt) Nakai,SPECIES,ACCEPTED,Plantae,2889088: Reynoutria sachalinensis (F.Schmidt) Nakai | 5334293: Fallopia sachalinensis (F.Schmidt) Ronse Decr.
2889173,Reynoutria japonica Houtt.,SPECIES,ACCEPTED,Plantae,2889173: Reynoutria japonica Houtt. | 5334357: Fallopia japonica (Houtt.) Ronse Decr. | 7128523: Fallopia japonica var. japonica
2891770,Impatiens glandulifera Royle,SPECIES,ACCEPTED,Plantae,2891770: Impatiens glandulifera Royle
2891774,Impatiens capensis Meerb.,SPECIES,ACCEPTED,Plantae,2891774: Impatiens capensis Meerb.
2996525,Rubus armeniacus Focke,SPECIES,ACCEPTED,Plantae,2996525: Rubus armeniacus Focke
3003979,Rosa rugosa Thunb.,SPECIES,ACCEPTED,Plantae,3003979: Rosa rugosa Thunb.
3021496,Prunus laurocerasus L.,SPECIES,ACCEPTED,Plantae,3021496: Prunus laurocerasus L.
3021850,Prunus serotina Ehrh.,SPECIES,ACCEPTED,Plantae,3021850: Prunus serotina Ehrh.
3025617,Cotoneaster horizontalis Decne.,SPECIES,ACCEPTED,Plantae,3025617: Cotoneaster horizontalis Decne.
3026454,Spiraea salicifolia L.,SPECIES,ACCEPTED,Plantae,3026454: Spiraea salicifolia L.
3026585,Spiraea alba Du Roi,SPECIES,ACCEPTED,Plantae,3026585: Spiraea alba Du Roi
3026819,Spiraea tomentosa L.,SPECIES,ACCEPTED,Plantae,3026819: Spiraea tomentosa L.
3027159,Spiraea douglasii Hook.,SPECIES,ACCEPTED,Plantae,3027159: Spiraea douglasii Hook.
3033865,Mahonia aquifolium (Pursh) Nutt.,SPECIES,ACCEPTED,Plantae,3033865: Mahonia aquifolium (Pursh) Nutt. | 3033868: Berberis aquifolium Pursh
3034825,Heracleum mantegazzianum Sommier & Levier,SPECIES,ACCEPTED,Plantae,3034825: Heracleum mantegazzianum Sommier & Levier
3039194,Parthenocissus quinquefolia (L.) Planch.,SPECIES,ACCEPTED,Plantae,3039194: Parthenocissus quinquefolia (L.) Planch.
3039203,Parthenocissus inserta (A.Kern.) Fritsch,SPECIES,ACCEPTED,Plantae,3039193: Parthenocissus vitacea (Knerr) Hitchc. | 3039203: Parthenocissus inserta (A.Kern.) Fritsch
3039209,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,SPECIES,ACCEPTED,Plantae,3039209: Parthenocissus tricuspidata (Siebold & Zucc.) Planch.
3039269,Elaeagnus angustifolia L.,SPECIES,ACCEPTED,Plantae,3039269: Elaeagnus angustifolia L.
3084842,Carpobrotus edulis (L.) N.E.Br.,SPECIES,ACCEPTED,Plantae,3084842: Carpobrotus edulis (L.) N.E.Br.
3114229,Rudbeckia laciniata L.,SPECIES,ACCEPTED,Plantae,3114229: Rudbeckia laciniata L.
3119175,Helianthus tuberosus L.,SPECIES,ACCEPTED,Plantae,3119175: Helianthus tuberosus L.
3119181,Helianthus ×laetiflorus Pers.,SPECIES,ACCEPTED,Plantae,3119181: Helianthus ×laetiflorus Pers.
3129663,Baccharis halimifolia L.,SPECIES,ACCEPTED,Plantae,3129663: Baccharis halimifolia L.
3170247,Asclepias syriaca L.,SPECIES,ACCEPTED,Plantae,3170247: Asclepias syriaca L.
3172348,Fraxinus pennsylvanica Marshall,SPECIES,ACCEPTED,Plantae,3172348: Fraxinus pennsylvanica Marshall
3189866,Acer negundo L.,SPECIES,ACCEPTED,Plantae,3189866: Acer negundo L.
3190538,Rhus typhina L.,SPECIES,ACCEPTED,Plantae,3190535: Rhus hirta (L.) Südw. | 3190538: Rhus typhina L.
3190653,Ailanthus altissima (Mill.) Swingle,SPECIES,ACCEPTED,Plantae,3190653: Ailanthus altissima (Mill.) Swingle
4038485,Reynoutria ×bohemica Chrtek & Chrtková,SPECIES,ACCEPTED,Plantae,4038485: Reynoutria ×bohemica Chrtek & Chrtková | 5652296: Fallopia ×bohemica (Chrtek & Chrtková) J.P.Bailey
5274863,Salvinia ×molesta D.S.Mitch.,SPECIES,ACCEPTED,Plantae,5274863: Salvinia ×molesta D.S.Mitch.
5328593,Aponogeton distachyos L.f.,SPECIES,ACCEPTED,Plantae,5328593: Aponogeton distachyos L.f.
5329212,Elodea nuttallii (Planch.) H.St.John,SPECIES,ACCEPTED,Plantae,5329212: Elodea nuttallii (Planch.) H.St.John
5329263,Elodea densa (Planch.) Casp.,SPECIES,ACCEPTED,Plantae,5329260: Egeria densa Planch.
5334351,Fallopia baldschuanica (Regel) Holub,SPECIES,ACCEPTED,Plantae,5334351: Fallopia baldschuanica (Regel) Holub | 5334436: Fallopia aubertii (L.Henry) Holub
5352251,Robinia pseudoacacia L.,SPECIES,ACCEPTED,Plantae,5352251: Robinia pseudoacacia L.
5356345,Laburnum anagyroides Medik.,SPECIES,ACCEPTED,Plantae,5356345: Laburnum anagyroides Medik.
5361762,Myriophyllum heterophyllum Michx.,SPECIES,ACCEPTED,Plantae,5361762: Myriophyllum heterophyllum Michx.
5361785,Myriophyllum aquaticum (Vell.) Verdc.,SPECIES,ACCEPTED,Plantae,5361785: Myriophyllum aquaticum (Vell.) Verdc. | 5361786: Myriophyllum brasiliense Cambess.
5389017,Solidago gigantea Aiton,SPECIES,ACCEPTED,Plantae,5389017: Solidago gigantea Aiton
5389029,Solidago canadensis L.,SPECIES,ACCEPTED,Plantae,5389029: Solidago canadensis L.
5420991,Ludwigia peploides (Kunth) P.H.Raven,SPECIES,ACCEPTED,Plantae,5420991: Ludwigia peploides (Kunth) P.H.Raven | 5545159: Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven
5421039,Ludwigia grandiflora (Michx.) Greuter & Burdet,SPECIES,ACCEPTED,Plantae,5421039: Ludwigia grandiflora (Michx.) Greuter & Burdet
7889822,Spiraea ×billardii Hérincq,SPECIES,ACCEPTED,Plantae,7889822: Spiraea ×billardii Hérincq
7978544,Hydrocotyle ranunculoides L.fil.,SPECIES,ACCEPTED,Plantae,7978544: Hydrocotyle ranunculoides L.fil.
8848208,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,SPECIES,ACCEPTED,Plantae,4037343: Rubrivena polystachya (Wall. ex Meisn.) M.Král | 5334448: Polygonum polystachyum Wall. ex Meisn. | 6391908: Persicaria wallichii Greuter & Burdet | 8848208: Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal
11055820,Hydrocharis laevigata (Humb. & Bonpl. ex Willd.) Byng & Christenh.,SPECIES,ACCEPTED,Plantae,5329643: Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine
11742641,Myriophyllum rubricaule Valk. & Duist.,SPECIES,ACCEPTED,Plantae,11742641: Myriophyllum rubricaule Valk. & Duist.
