"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA,NA,NA," 1"," 1"," 1"," 1"," 1",NA,NA," 2"," 4"," 4","Sporadic"
"Parthenocissus quinquefolia",NA,NA,NA,NA,NA," 2",NA," 1",NA,NA,NA," 1"," 1","Sporadic"
"Spiraea billardii"," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Prunus laurocerasus",NA,NA,NA,NA,NA,NA," 2",NA," 3"," 3"," 2"," 7"," 7","Sporadic"
"Rosa rugosa",NA," 2",NA," 1"," 3"," 2"," 1"," 2"," 3"," 5"," 4","16","16","Sporadic"
"Pistia stratiotes",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,"Present"
"Solidago gigantea"," 1"," 5"," 9","15","12"," 6"," 9"," 6"," 3"," 9"," 9","12","12","Present"
"Rubus armeniacus",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Present"
"Robinia pseudoacacia"," 6"," 6","10","19","16","15"," 7"," 8","11","14","16","33","33","Present"
"Acer negundo"," 1",NA," 1"," 2"," 2"," 3",NA," 2"," 2"," 5"," 3"," 8"," 8","Sporadic"
"Ailanthus altissima"," 1",NA,NA,NA," 1"," 1",NA," 2",NA,NA," 1"," 2"," 2","Sporadic"
"Azolla filiculoides",NA,NA," 2",NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,"Sporadic"
"Cabomba caroliniana",NA,NA,NA,NA,NA,NA,NA,NA," 2"," 1",NA,NA,NA,"Present"
"Cotoneaster horizontalis",NA,NA," 1"," 1"," 2"," 1"," 2",NA," 1",NA," 2"," 1"," 1","Sporadic"
"Elaeagnus angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent"
"Elodea canadensis",NA,NA," 1",NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,"Sporadic"
"Elodea nuttallii"," 2"," 1"," 2"," 5",NA," 2"," 6"," 7"," 3"," 8"," 3"," 1"," 1","Sporadic"
"Fallopia baldschuanica",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA," 1"," 1","Sporadic"
"Helianthus tuberosus",NA," 2"," 6"," 4"," 3"," 2"," 2"," 1"," 1"," 2"," 3"," 2"," 2","Present"
"Helianthus laetiflorus",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
"Heracleum mantegazzianum"," 3"," 1"," 5"," 8","10"," 7"," 3"," 3"," 3"," 6"," 4","11","11","Present"
"Hydrocotyle ranunculoides",NA,NA,NA,NA,NA," 2","11"," 5"," 3"," 5"," 4"," 2"," 2","Present"
"Impatiens capensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Impatiens glandulifera"," 6"," 5","13","16"," 9"," 8"," 5","10","15","16","12","25","25","Present"
"Laburnum anagyroides",NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Lemna minuta"," 1"," 1"," 2"," 1"," 2"," 3",NA," 1",NA,NA," 1",NA,NA,"Sporadic"
"Lemna turionifera",NA,NA,NA,NA," 1"," 1"," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
"Reynoutria japonica"," 5"," 6"," 9","20","20","22","11","16","17","20","20","32","32","Present"
"Prunus serotina"," 5","10","17","28","25","26","16","20","24","35","30","47","47","Present"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA,NA,NA," 2"," 1"," 3",NA,NA,"Present"
"Mahonia aquifolium",NA," 3"," 3"," 5"," 5"," 7"," 3",NA," 1"," 7","11","13","13","Sporadic"
"Parthenocissus inserta"," 1"," 1"," 2"," 6"," 1",NA," 3"," 2"," 1"," 1"," 3"," 2"," 2","Sporadic"
"Spiraea douglasii",NA,NA,NA," 3",NA,NA," 1",NA," 1",NA,NA,NA,NA,"Sporadic"
"Rudbeckia laciniata",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Present"
"Ludwigia grandiflora"," 1",NA,NA,NA,NA," 1"," 1"," 1"," 1"," 1"," 1"," 3"," 3","Sporadic"
"Reynoutria sachalinensis"," 1",NA,NA," 2"," 2",NA,NA,NA," 1",NA,NA,NA,NA,"Sporadic"
"Solidago canadensis",NA," 1"," 7"," 7"," 6"," 4"," 2"," 3"," 2"," 1"," 6"," 4"," 4","Present"
"Myriophyllum aquaticum",NA,NA,NA,NA," 2",NA,NA," 2"," 3"," 3",NA," 2"," 2","Sporadic"
