"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina","4","9","4","2","2","2","1","1","1","5","7","8","8","Present"
"Parthenocissus quinquefolia",NA,NA,NA," 1"," 1"," 1"," 1"," 1"," 2"," 1"," 3"," 2"," 2","Present"
"Spiraea billardii"," 1",NA," 1",NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
"Prunus laurocerasus"," 7"," 5"," 4"," 2"," 2"," 2"," 5"," 5"," 1"," 7","12","17","17","Present"
"Rosa rugosa"," 2"," 4"," 6"," 1"," 4"," 4"," 2"," 7"," 6"," 9","16","30","30","Present"
"Spiraea alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Solidago gigantea"," 7","17","10"," 6","10"," 7","11"," 6"," 7","13","27","23","23","Present"
"Rubus armeniacus"," 1"," 2"," 4"," 2",NA," 2",NA," 4"," 2"," 4","10"," 3"," 3","Sporadic"
"Robinia pseudoacacia","13","26","10","12","13","10"," 8","15","13","21","29","41","41","Present"
"Acer negundo"," 6"," 1",NA," 4"," 4"," 3"," 1"," 1"," 2"," 3"," 8"," 4"," 4","Sporadic"
"Ailanthus altissima"," 7","17"," 6"," 4"," 8"," 3"," 6"," 9","10","19","22","22","22","Present"
"Azolla filiculoides",NA," 1",NA," 1"," 1",NA,NA," 3"," 1",NA," 7"," 1"," 1","Sporadic"
"Cotoneaster horizontalis"," 8"," 9"," 3"," 1"," 2"," 1"," 4",NA,NA," 2"," 3"," 2"," 2","Sporadic"
"Elaeagnus angustifolia",NA," 1",NA,NA," 1",NA," 1"," 1",NA,NA," 2"," 1"," 1","Sporadic"
"Elodea canadensis",NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Elodea nuttallii"," 2"," 1"," 1"," 1",NA," 1"," 1"," 3"," 2"," 2"," 4"," 2"," 2","Sporadic"
"Fallopia baldschuanica"," 2"," 1"," 5",NA,NA," 3"," 2"," 1"," 1"," 2"," 2",NA,NA,"Sporadic"
"Fraxinus pennsylvanica",NA,NA,NA,NA," 1",NA,NA,NA,NA," 7"," 3",NA,NA,"Sporadic"
"Helianthus tuberosus"," 2",NA,NA," 1"," 2",NA,NA," 1",NA," 1"," 1"," 4"," 4","Sporadic"
"Helianthus laetiflorus",NA,NA," 2",NA," 3",NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Heracleum mantegazzianum","10","17"," 7"," 6"," 7","14","12","28","20","18","37","34","34","Present"
"Hydrocotyle ranunculoides"," 4"," 2"," 1"," 2"," 2"," 3","15"," 9"," 6"," 4"," 2"," 2"," 2","Present"
"Impatiens capensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Impatiens glandulifera"," 7","15"," 9"," 6"," 9"," 9","10","14"," 7","11","15","21","21","Present"
"Koenigia polystachya",NA,NA,NA," 1",NA,NA,NA," 1",NA," 2"," 2",NA,NA,"Sporadic"
"Laburnum anagyroides"," 7",NA," 2"," 2",NA,NA," 3"," 3"," 1",NA," 3",NA,NA,"Sporadic"
"Lagarosiphon major",NA,NA,NA,NA," 6"," 3",NA," 1"," 2"," 1"," 1"," 1"," 1","Sporadic"
"Lemna minuta"," 1",NA," 5"," 2"," 7"," 1"," 7"," 6"," 3"," 4"," 9","12","12","Sporadic"
"Lemna turionifera",NA,NA,NA,NA,NA,NA," 1",NA," 1"," 1"," 3"," 2"," 2","Sporadic"
"Reynoutria japonica"," 7","56","17","21","28","14","23","56","27","47","42","50","50","Present"
"Myriophyllum rubricaule",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,"Present"
"Prunus serotina","14"," 3"," 9"," 4","14"," 3"," 8","11","12","19","23","44","44","Present"
"Parthenocissus tricuspidata",NA," 3"," 3"," 1",NA," 1"," 5",NA," 1"," 5"," 4","10","10","Sporadic"
"Mahonia aquifolium","14"," 7"," 3"," 3"," 7"," 5"," 7"," 7"," 3","11","20","28","28","Present"
"Parthenocissus inserta"," 3"," 6"," 6"," 2"," 2"," 3"," 1"," 2",NA," 1"," 2"," 9"," 9","Sporadic"
"Spiraea douglasii"," 1",NA," 1",NA,NA,NA,NA,NA,NA," 2"," 1",NA,NA,"Sporadic"
"Reynoutria bohemica"," 3"," 4",NA," 1"," 1",NA," 1"," 1",NA," 2"," 2",NA,NA,"Sporadic"
"Myriophyllum heterophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Present"
"Ludwigia grandiflora",NA,NA,NA,NA,NA," 1"," 1"," 1"," 1"," 1"," 2"," 1"," 1","Present"
"Reynoutria sachalinensis"," 2"," 1"," 1"," 1"," 2"," 1",NA," 2"," 1"," 1"," 3"," 2"," 2","Sporadic"
"Solidago canadensis"," 4"," 4"," 6"," 5"," 1"," 4"," 1"," 7"," 1"," 6","10"," 8"," 8","Present"
"Myriophyllum aquaticum",NA,NA,NA,NA,NA,NA,NA," 1",NA," 2"," 2",NA,NA,"Sporadic"
"Ludwigia peploides",NA,NA,NA,NA," 1"," 2"," 3"," 2"," 1",NA,NA,NA,NA,"Present"
