Rhus typhina
Parthenocissus quinquefolia
Spiraea billardii
Prunus laurocerasus
Rosa rugosa
Spiraea alba
Solidago gigantea
Rubus armeniacus
Robinia pseudoacacia
Acer negundo
Ailanthus altissima
Azolla filiculoides
Cotoneaster horizontalis
Elaeagnus angustifolia
Elodea canadensis
Elodea nuttallii
Fallopia baldschuanica
Fraxinus pennsylvanica
Helianthus tuberosus
Helianthus laetiflorus
Heracleum mantegazzianum
Hydrocotyle ranunculoides
Impatiens capensis
Impatiens glandulifera
Koenigia polystachya
Laburnum anagyroides
Lagarosiphon major
Lemna minuta
Lemna turionifera
Reynoutria japonica
Myriophyllum rubricaule
Prunus serotina
Parthenocissus tricuspidata
Mahonia aquifolium
Parthenocissus inserta
Spiraea douglasii
Reynoutria bohemica
Myriophyllum heterophyllum
Ludwigia grandiflora
Reynoutria sachalinensis
Solidago canadensis
Myriophyllum aquaticum
Ludwigia peploides
