"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina"," 6"," 5"," 1"," 4"," 2",NA," 1"," 3",NA," 1"," 1"," 3"," 3","Sporadic"
"Parthenocissus quinquefolia",NA,NA,NA,NA," 1",NA,NA," 1"," 1"," 2",NA,NA,NA,"Sporadic"
"Spiraea billardii"," 1"," 1",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,"Sporadic"
"Prunus laurocerasus","1","7","4","4","5","7","5","3","5","1","5","7","7","Present"
"Rosa rugosa"," 3"," 3"," 3"," 5"," 4"," 3"," 1"," 5"," 4"," 1","12","16","16","Present"
"Pistia stratiotes",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Solidago gigantea","13","29"," 6","10","10","11"," 9"," 9"," 3","11","12"," 9"," 9","Present"
"Rubus armeniacus",NA,NA," 1",NA,NA,NA,NA,NA,NA," 1"," 1",NA,NA,"Sporadic"
"Robinia pseudoacacia","11","17"," 4"," 7"," 6"," 7"," 1"," 4","12"," 7"," 9","19","19","Present"
"Acer negundo"," 1",NA,NA," 1",NA,NA,NA,NA," 3"," 1",NA," 2"," 2","Sporadic"
"Ailanthus altissima"," 2"," 2"," 1"," 2",NA," 2",NA,NA," 1"," 1"," 1"," 3"," 3","Sporadic"
"Azolla filiculoides",NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Cotoneaster horizontalis"," 7"," 8"," 2"," 1",NA," 2"," 1"," 2"," 1"," 1"," 1",NA,NA,"Sporadic"
"Elaeagnus angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Elodea nuttallii",NA,NA,NA," 4",NA," 1",NA,NA," 2"," 1",NA," 1"," 1","Sporadic"
"Fallopia baldschuanica","3","1","1","3","1","1","1","3","1","1","1","1","1","Present"
"Fraxinus pennsylvanica",NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1",NA,NA,NA,"Present"
"Helianthus tuberosus",NA," 1",NA,NA,NA," 1",NA,NA," 1"," 1",NA," 1"," 1","Sporadic"
"Helianthus laetiflorus"," 1"," 1",NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Heracleum mantegazzianum"," 6","30"," 7","20"," 9","26","24","22","17","21","36","29","29","Present"
"Hydrocotyle ranunculoides",NA," 3",NA," 1",NA,NA," 1"," 1",NA," 1"," 2"," 3"," 3","Sporadic"
"Impatiens glandulifera"," 9","38"," 7","10"," 7","11","16","17","14","20","23","44","44","Present"
"Koenigia polystachya",NA,NA,NA,NA,NA,NA," 1",NA,NA," 1"," 1",NA,NA,"Sporadic"
"Laburnum anagyroides",NA," 1"," 1",NA," 1",NA,NA,NA," 3"," 1",NA," 1"," 1","Sporadic"
"Lagarosiphon major",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Present"
"Lemna minuta","2","4","5","3","2","6","5","2","7","5","3","2","2","Present"
"Reynoutria japonica"," 8","57"," 4","15"," 9","29"," 9","22","16","15","22","38","38","Present"
"Prunus serotina","12"," 8"," 5"," 6"," 6","14"," 8"," 6","11"," 5"," 5","20","20","Present"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA,NA," 1"," 1",NA," 1"," 1"," 1","Sporadic"
"Mahonia aquifolium"," 8"," 6"," 3"," 8"," 8"," 8"," 4"," 1"," 3"," 2","12","13","13","Present"
"Parthenocissus inserta"," 3"," 1"," 1"," 1"," 5"," 2"," 4"," 4",NA,NA," 1"," 2"," 2","Sporadic"
"Spiraea douglasii",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,"Present"
"Reynoutria bohemica"," 2","20"," 1"," 1",NA,NA," 1",NA," 1",NA," 2",NA,NA,"Sporadic"
"Rudbeckia laciniata",NA,NA," 1",NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Ludwigia grandiflora",NA,NA,NA,NA,NA," 1",NA,NA,NA," 1"," 2",NA,NA,"Sporadic"
"Reynoutria sachalinensis",NA," 1",NA,NA," 3"," 2",NA,NA,NA,NA," 2"," 1"," 1","Sporadic"
"Solidago canadensis"," 1"," 1"," 1",NA," 1",NA,NA," 1"," 1",NA," 1"," 2"," 2","Sporadic"
"Myriophyllum aquaticum",NA," 2"," 1",NA,NA,NA,NA,NA,NA," 2"," 1",NA,NA,"Sporadic"
"Ludwigia peploides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Present"
