"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA,NA,NA,NA,NA," 1",NA," 1",NA," 2"," 2"," 5"," 5","Sporadic"
"Parthenocissus quinquefolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 1","Present"
"Prunus laurocerasus",NA," 1",NA," 1"," 1"," 5"," 4"," 5"," 4"," 6","13"," 9"," 9","Sporadic"
"Rosa rugosa"," 1"," 2"," 3",NA,NA," 2"," 2"," 2"," 2"," 3"," 7"," 7"," 7","Sporadic"
"Solidago gigantea"," 4"," 1"," 3"," 4"," 1"," 6"," 3"," 2"," 3"," 9"," 2","11","11","Present"
"Rubus armeniacus"," 1"," 1"," 1",NA,NA,NA," 1"," 1",NA," 1",NA,NA,NA,"Sporadic"
"Robinia pseudoacacia"," 1"," 3"," 1",NA," 1"," 5"," 4"," 4"," 1"," 3"," 6","14","14","Sporadic"
"Acer negundo",NA,NA," 1"," 1"," 1"," 1"," 1",NA," 1"," 1"," 2"," 2"," 2","Sporadic"
"Ailanthus altissima",NA," 3",NA," 1",NA,NA," 1",NA," 1"," 2"," 1"," 2"," 2","Sporadic"
"Azolla filiculoides"," 1",NA,NA," 1",NA,NA," 2",NA,NA,NA,NA,NA,NA,"Sporadic"
"Baccharis halimifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Cotoneaster horizontalis",NA," 3"," 2",NA," 1",NA,NA,NA,NA," 1"," 1"," 2"," 2","Sporadic"
"Elaeagnus angustifolia"," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Sporadic"
"Elodea canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 1","Present"
"Elodea nuttallii",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA," 1",NA,NA,"Sporadic"
"Fallopia baldschuanica",NA,NA,NA,NA,NA," 1"," 1",NA," 1",NA," 1",NA,NA,"Sporadic"
"Fraxinus pennsylvanica"," 1",NA,NA," 1",NA,NA,NA," 1"," 1",NA,NA,NA,NA,"Sporadic"
"Helianthus tuberosus",NA,NA," 1",NA,NA,NA," 1",NA,NA,NA," 1"," 2"," 2","Sporadic"
"Helianthus laetiflorus",NA,NA," 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Heracleum mantegazzianum"," 3","15"," 3","32","10","17","26","16","18","22","22","27","27","Present"
"Hydrocotyle ranunculoides",NA,"10"," 3",NA," 3"," 5","21","23","18","18","22","20","20","Sporadic"
"Impatiens capensis",NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 1"," 3"," 3","Present"
"Impatiens glandulifera"," 1"," 7"," 4"," 2"," 4"," 4","10"," 6"," 8","11","12","16","16","Present"
"Laburnum anagyroides",NA,NA,NA,NA," 1",NA,NA,NA," 1",NA,NA," 1"," 1","Sporadic"
"Lemna minuta",NA,NA,NA," 1",NA,NA," 2"," 1",NA," 4"," 1"," 1"," 1","Sporadic"
"Reynoutria japonica",NA,"22"," 3"," 6"," 3","10"," 9","19"," 6","10","19","26","26","Present"
"Myriophyllum rubricaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Prunus serotina"," 1"," 3"," 3"," 1"," 1"," 2"," 4"," 1"," 2","10","11","15","15","Present"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA," 2",NA," 1"," 1"," 1"," 2"," 2","Sporadic"
"Mahonia aquifolium",NA," 3"," 2"," 3"," 2"," 9"," 3"," 2"," 2"," 9"," 8"," 9"," 9","Present"
"Parthenocissus inserta",NA,NA,NA,NA," 2",NA," 1",NA,NA," 1",NA," 1"," 1","Sporadic"
"Spiraea douglasii",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
"Reynoutria bohemica",NA," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Ludwigia grandiflora",NA," 1",NA," 1"," 2"," 1"," 4"," 3"," 4"," 3"," 2"," 3"," 3","Sporadic"
"Solidago canadensis"," 1",NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 1"," 4"," 4","Sporadic"
"Myriophyllum aquaticum",NA,NA,NA,NA,NA,NA,NA," 1",NA,NA," 1",NA,NA,"Sporadic"
"Ludwigia peploides",NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
