"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA," 1"," 1"," 2"," 2"," 1"," 1"," 1"," 2"," 4"," 4"," 4"," 4","Present"
"Parthenocissus quinquefolia",NA,NA,NA," 2",NA," 1",NA,NA,NA,NA," 3"," 1"," 1","Sporadic"
"Prunus laurocerasus"," 1",NA," 1"," 2"," 2"," 1"," 7"," 4","10"," 6","13","17","17","Sporadic"
"Rosa rugosa"," 2"," 4",NA," 4",NA," 5"," 2"," 3"," 1"," 7"," 8","16","16","Sporadic"
"Pistia stratiotes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent"
"Solidago gigantea"," 2","63"," 5"," 5"," 9"," 7"," 6"," 5"," 8","13","18","17","17","Present"
"Rubus armeniacus"," 1"," 1",NA,NA,NA,NA," 1"," 1",NA,NA," 2"," 1"," 1","Sporadic"
"Robinia pseudoacacia"," 3","17"," 3"," 7"," 5"," 1"," 7"," 5"," 2"," 9","17","24","24","Present"
"Acer negundo"," 2"," 2",NA," 1",NA,NA,NA,NA,NA," 1"," 2",NA,NA,"Sporadic"
"Ailanthus altissima"," 2","15",NA," 3",NA,NA,NA," 2"," 1"," 2"," 3"," 5"," 5","Sporadic"
"Azolla filiculoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Present"
"Baccharis halimifolia",NA," 1",NA,NA,NA,NA," 1",NA,NA,NA," 1",NA,NA,"Sporadic"
"Cotoneaster horizontalis",NA," 6"," 1"," 2"," 1",NA," 1",NA," 1"," 2"," 8"," 1"," 1","Sporadic"
"Elaeagnus angustifolia",NA,NA,NA," 2"," 1",NA,NA,NA," 1"," 3",NA,NA,NA,"Sporadic"
"Elodea nuttallii",NA,NA," 2",NA," 1"," 3",NA,NA," 2",NA," 1",NA,NA,"Sporadic"
"Fallopia baldschuanica"," 1",NA,NA," 2",NA," 2"," 1",NA,NA,NA,NA," 1"," 1","Sporadic"
"Helianthus tuberosus",NA,NA,NA,NA,NA," 1",NA," 1",NA,NA," 2"," 3"," 3","Sporadic"
"Helianthus laetiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent"
"Heracleum mantegazzianum"," 4","11"," 5","14"," 7"," 3","12"," 9"," 7","17","20","11","11","Present"
"Hydrocotyle ranunculoides",NA," 5",NA," 1"," 2"," 4","16"," 9"," 9"," 2"," 2"," 2"," 2","Sporadic"
"Impatiens glandulifera"," 9","79","12","13","14","14","20","17","19","30","34","60","60","Present"
"Laburnum anagyroides"," 1",NA,NA," 2"," 1",NA," 1"," 2",NA,NA," 1"," 1"," 1","Sporadic"
"Lagarosiphon major",NA,NA,NA,NA,NA,NA," 1",NA,NA," 1"," 1"," 2"," 2","Sporadic"
"Lemna minuta",NA," 1",NA," 1"," 5"," 4"," 3"," 4"," 1"," 2"," 5"," 4"," 4","Sporadic"
"Lemna turionifera",NA,NA,NA,NA," 1",NA,NA,NA," 1",NA," 1",NA,NA,"Sporadic"
"Reynoutria japonica"," 8","62","14","17","18","15","19","23","30","39","37","41","41","Present"
"Prunus serotina"," 3"," 6"," 6"," 8"," 5","10","11"," 5","10"," 7","13","23","23","Present"
"Parthenocissus tricuspidata",NA," 1"," 1"," 1",NA,NA,NA,NA," 1",NA," 3"," 2"," 2","Sporadic"
"Mahonia aquifolium"," 4"," 3"," 5"," 5"," 1"," 4"," 4"," 6"," 3"," 6","14","15","15","Present"
"Parthenocissus inserta"," 1",NA," 1"," 1"," 1",NA," 1"," 2"," 3"," 1"," 1",NA,NA,"Sporadic"
"Spiraea douglasii",NA," 2",NA," 1",NA,NA,NA,NA,NA," 1",NA," 1"," 1","Sporadic"
"Reynoutria bohemica"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Ludwigia grandiflora",NA,NA," 1",NA,NA,NA,NA," 1"," 3"," 2"," 3"," 3"," 3","Sporadic"
"Solidago canadensis"," 2"," 4",NA," 9",NA," 1"," 1"," 1",NA," 1",NA," 7"," 7","Sporadic"
"Myriophyllum aquaticum",NA," 1",NA,NA,NA,NA," 2",NA," 1",NA," 2"," 1"," 1","Sporadic"
