"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA," 1"," 2",NA,NA,NA,NA," 1",NA," 1"," 1"," 2"," 2","Sporadic"
"Parthenocissus quinquefolia",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Present"
"Spiraea billardii",NA,NA,NA,NA,NA,NA,NA," 1"," 1",NA,NA,NA,NA,"Present"
"Prunus laurocerasus",NA," 1"," 1"," 1"," 1"," 2"," 2"," 1"," 5"," 4","10"," 8"," 8","Present"
"Rosa rugosa"," 8"," 7"," 2"," 1"," 3"," 4"," 1"," 8"," 9"," 8","11","19","19","Present"
"Solidago gigantea"," 1"," 4"," 5"," 3"," 4"," 4","10","10"," 6"," 9"," 7","11","11","Present"
"Rubus armeniacus"," 2"," 2"," 3"," 1",NA,NA," 1"," 1",NA," 1"," 1",NA,NA,"Sporadic"
"Robinia pseudoacacia"," 4","29"," 3"," 3"," 1"," 2"," 2"," 5"," 9"," 6"," 8"," 8"," 8","Present"
"Acer negundo",NA," 3",NA," 1",NA,NA," 3"," 1"," 1"," 3"," 3"," 1"," 1","Sporadic"
"Ailanthus altissima",NA," 3",NA,NA," 2"," 1"," 1",NA," 3"," 7"," 8"," 5"," 5","Sporadic"
"Azolla filiculoides","1","2","1","6","5","4","3","3","4","1","1","3","3","Present"
"Baccharis halimifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Present"
"Cotoneaster horizontalis"," 1"," 3"," 1"," 2"," 1"," 1",NA,NA," 2"," 6"," 1"," 1"," 1","Sporadic"
"Elaeagnus angustifolia",NA," 1"," 2",NA," 1",NA,NA,NA,NA," 1"," 3"," 1"," 1","Sporadic"
"Elodea canadensis",NA," 1",NA," 2",NA,NA,NA,NA,NA,NA," 1",NA,NA,"Sporadic"
"Elodea nuttallii","4","3","1","3","1","3","2","4","5","5","6","4","4","Present"
"Fallopia baldschuanica",NA,NA," 1",NA," 1"," 1",NA," 1"," 2"," 1"," 2"," 1"," 1","Sporadic"
"Fraxinus pennsylvanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent"
"Helianthus tuberosus",NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Helianthus laetiflorus",NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Heracleum mantegazzianum"," 5"," 5"," 7"," 7"," 6","11","23","14","12","14","19","23","23","Present"
"Hydrocotyle ranunculoides"," 2","10"," 1"," 6"," 2"," 2"," 9","12"," 7"," 4"," 8","10","10","Present"
"Impatiens capensis",NA,NA,NA,NA,NA," 1"," 1",NA,NA,NA," 1",NA,NA,"Sporadic"
"Impatiens glandulifera"," 3","16"," 4","11"," 5"," 4","26"," 7"," 8","10","18","17","17","Present"
"Laburnum anagyroides",NA,NA,NA," 1",NA,NA,NA," 1",NA,NA," 1"," 1"," 1","Sporadic"
"Lemna minuta",NA,NA," 1"," 4"," 3"," 1"," 5"," 3"," 7"," 1"," 3"," 1"," 1","Present"
"Lemna turionifera",NA,NA,NA,NA,NA,NA," 1",NA,NA," 1",NA," 2"," 2","Sporadic"
"Reynoutria japonica"," 1","37"," 2"," 7"," 9",NA,"47","30","21","20","32","38","38","Sporadic"
"Myriophyllum rubricaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent"
"Prunus serotina"," 7","23"," 6"," 5"," 6"," 6","16","15","17","18","27","27","27","Present"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA,NA,NA," 1"," 3"," 3"," 2"," 2","Present"
"Mahonia aquifolium"," 2",NA," 1",NA," 3"," 1"," 2"," 5"," 4"," 4"," 7"," 3"," 3","Sporadic"
"Parthenocissus inserta",NA," 1",NA,NA,NA," 1",NA," 3"," 1"," 2"," 2",NA,NA,"Sporadic"
"Spiraea douglasii",NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Reynoutria bohemica"," 2"," 2",NA,NA,NA,NA," 1",NA,NA," 1"," 2",NA,NA,"Sporadic"
"Rudbeckia laciniata",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA," 2"," 2","Sporadic"
"Ludwigia grandiflora",NA,NA,NA," 1"," 1",NA,NA," 2"," 3",NA," 3"," 3"," 3","Sporadic"
"Reynoutria sachalinensis",NA,NA,NA,NA," 1"," 1"," 1"," 1",NA,NA," 2"," 1"," 1","Sporadic"
"Solidago canadensis"," 2",NA,NA," 2",NA,NA," 4"," 1"," 2"," 1"," 2"," 3"," 3","Sporadic"
"Myriophyllum aquaticum",NA,NA," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 3"," 3"," 3","Present"
"Ludwigia peploides",NA,NA,NA," 1"," 1"," 1"," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
