"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina"," 1"," 1",NA,NA,NA," 1"," 1"," 1",NA," 3"," 3"," 2"," 2","Sporadic"
"Prunus laurocerasus"," 1"," 1",NA," 3"," 1"," 1"," 2"," 3"," 4"," 3","12"," 7"," 7","Sporadic"
"Rosa rugosa"," 1",NA,NA," 2"," 3"," 2"," 1"," 3"," 1"," 8"," 7"," 6"," 6","Sporadic"
"Solidago gigantea","1","3","1","3","4","4","5","4","2","7","6","8","8","Present"
"Rubus armeniacus",NA,NA,NA,NA,NA," 3",NA,NA,NA," 1",NA,NA,NA,"Sporadic"
"Robinia pseudoacacia",NA," 5",NA," 1"," 3"," 2"," 2"," 1"," 6","10"," 7","13","13","Sporadic"
"Acer negundo",NA,NA,NA,NA," 1",NA,NA," 3"," 2"," 2"," 3"," 1"," 1","Sporadic"
"Ailanthus altissima",NA," 4",NA,NA," 1"," 1"," 1"," 1"," 4"," 9"," 9"," 8"," 8","Sporadic"
"Aponogeton distachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Present"
"Asclepias syriaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Azolla filiculoides"," 2",NA,NA,NA," 1"," 3",NA,NA," 1"," 2"," 1",NA,NA,"Sporadic"
"Baccharis halimifolia",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA," 4"," 1"," 1","Sporadic"
"Cotoneaster horizontalis"," 1",NA,NA,NA,NA," 1"," 1"," 1"," 2"," 8"," 1",NA,NA,"Sporadic"
"Elaeagnus angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent"
"Elodea canadensis",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
"Elodea nuttallii"," 1"," 1"," 3"," 1"," 1"," 1"," 5"," 2"," 3"," 4",NA,NA,NA,"Present"
"Fallopia baldschuanica",NA," 1",NA,NA," 1"," 2",NA," 1"," 2"," 1"," 3"," 3"," 3","Sporadic"
"Fraxinus pennsylvanica",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Present"
"Helianthus tuberosus",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Helianthus laetiflorus",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Present"
"Heracleum mantegazzianum","1","7","3","4","9","6","8","4","7","3","5","9","9","Present"
"Hydrocotyle ranunculoides"," 1",NA,NA,NA," 2"," 2"," 5"," 5"," 2"," 1"," 2"," 2"," 2","Sporadic"
"Impatiens capensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent"
"Impatiens glandulifera","1","5","3","3","3","6","6","3","4","5","5","8","8","Present"
"Laburnum anagyroides",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 3"," 1"," 1","Present"
"Lemna minuta",NA,NA,NA," 1"," 1"," 4"," 3",NA," 2"," 1"," 1",NA,NA,"Sporadic"
"Lemna turionifera",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,"Present"
"Reynoutria japonica"," 2","17"," 4"," 4"," 6","10","11","10","11","17","18","22","22","Present"
"Prunus serotina"," 4"," 3",NA," 2"," 3"," 2"," 3"," 2"," 4"," 4","10"," 9"," 9","Sporadic"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA,NA,NA," 2"," 4"," 1",NA,NA,"Present"
"Mahonia aquifolium",NA,NA," 1"," 1"," 1"," 2",NA," 1"," 4"," 2"," 4"," 2"," 2","Sporadic"
"Parthenocissus inserta",NA,NA,NA,NA," 1"," 1"," 2"," 1",NA," 1"," 3",NA,NA,"Sporadic"
"Reynoutria bohemica",NA,NA,NA," 2",NA," 1",NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Rudbeckia laciniata",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA," 1"," 1","Sporadic"
"Ludwigia grandiflora",NA,NA,NA," 1",NA," 2",NA,NA," 1"," 1",NA,NA,NA,"Sporadic"
"Reynoutria sachalinensis",NA,NA,NA,NA,NA," 2",NA," 1",NA,NA," 1"," 1"," 1","Sporadic"
"Solidago canadensis",NA,NA,NA,NA,NA,NA,NA," 1"," 2"," 1"," 1"," 2"," 2","Present"
"Myriophyllum aquaticum",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
