Rhus typhina
Prunus laurocerasus
Rosa rugosa
Solidago gigantea
Rubus armeniacus
Robinia pseudoacacia
Acer negundo
Ailanthus altissima
Aponogeton distachyos
Asclepias syriaca
Azolla filiculoides
Baccharis halimifolia
Cotoneaster horizontalis
Elaeagnus angustifolia
Elodea canadensis
Elodea nuttallii
Fallopia baldschuanica
Fraxinus pennsylvanica
Helianthus tuberosus
Helianthus laetiflorus
Heracleum mantegazzianum
Hydrocotyle ranunculoides
Impatiens capensis
Impatiens glandulifera
Laburnum anagyroides
Lemna minuta
Lemna turionifera
Reynoutria japonica
Prunus serotina
Parthenocissus tricuspidata
Mahonia aquifolium
Parthenocissus inserta
Reynoutria bohemica
Rudbeckia laciniata
Ludwigia grandiflora
Reynoutria sachalinensis
Solidago canadensis
Myriophyllum aquaticum
