"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA," 2",NA,NA,NA,NA," 1"," 1",NA,NA," 1"," 2"," 2","Sporadic"
"Parthenocissus quinquefolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Present"
"Prunus laurocerasus",NA,NA," 1",NA,NA,NA," 1"," 1",NA,NA," 3"," 5"," 5","Sporadic"
"Rosa rugosa"," 2"," 1"," 1"," 4"," 1"," 3"," 2"," 6"," 8"," 3"," 7","14","14","Present"
"Solidago gigantea"," 2","14"," 1"," 2"," 1"," 3"," 5"," 4"," 4"," 2"," 4"," 5"," 5","Present"
"Rubus armeniacus",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Present"
"Robinia pseudoacacia"," 3"," 7",NA," 2"," 1"," 1"," 1"," 2"," 4",NA," 1"," 2"," 2","Sporadic"
"Acer negundo",NA," 7"," 2",NA,NA,NA,NA," 2"," 6",NA," 1"," 3"," 3","Sporadic"
"Ailanthus altissima",NA," 4",NA,NA,NA," 2",NA,NA,NA,NA," 1"," 3"," 3","Sporadic"
"Azolla filiculoides",NA," 2"," 1",NA," 3",NA," 2"," 1"," 3"," 2"," 3"," 1"," 1","Sporadic"
"Baccharis halimifolia"," 3"," 1"," 2",NA,NA,NA," 3"," 1"," 1"," 2"," 2"," 3"," 3","Sporadic"
"Cotoneaster horizontalis"," 9","10",NA,NA," 3",NA," 1"," 3"," 1"," 1"," 2"," 5"," 5","Sporadic"
"Elaeagnus angustifolia",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Present"
"Elodea canadensis"," 1",NA," 1",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Sporadic"
"Elodea nuttallii"," 2"," 5"," 3",NA," 2"," 6"," 2"," 5","13",NA,NA," 3"," 3","Sporadic"
"Fallopia baldschuanica"," 1"," 2",NA,NA,NA," 1",NA," 1"," 3",NA,NA,NA,NA,"Sporadic"
"Helianthus tuberosus",NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Heracleum mantegazzianum"," 2"," 2"," 2","10"," 4"," 4"," 4"," 4"," 3"," 3"," 3"," 4"," 4","Present"
"Hydrocotyle ranunculoides",NA,NA,NA," 1",NA,NA,NA,NA,NA," 1",NA,NA,NA,"Sporadic"
"Impatiens glandulifera",NA," 2",NA," 2"," 2"," 1"," 1",NA," 2"," 3"," 1"," 5"," 5","Sporadic"
"Laburnum anagyroides"," 1",NA,NA,NA,NA," 1",NA,NA,NA,NA," 1"," 3"," 3","Sporadic"
"Lagarosiphon major",NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Lemna minuta"," 2",NA,NA,NA," 5"," 3"," 1",NA," 8"," 1"," 4",NA,NA,"Sporadic"
"Lemna turionifera",NA,NA,NA,NA,NA," 1",NA," 1","15"," 4"," 2"," 1"," 1","Sporadic"
"Reynoutria japonica"," 4"," 8"," 2"," 7"," 6"," 2"," 6","11","11"," 4"," 7","11","11","Present"
"Prunus serotina"," 3"," 1"," 2",NA," 1"," 2"," 3"," 1"," 1"," 3"," 3"," 3"," 3","Sporadic"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA," 1"," 1"," 1","Sporadic"
"Mahonia aquifolium","6","4","2","3","5","5","5","6","3","2","4","4","4","Present"
"Parthenocissus inserta",NA,NA,NA,NA,NA,NA,NA,NA," 2",NA," 1",NA,NA,"Sporadic"
"Reynoutria bohemica",NA," 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Ludwigia grandiflora",NA,NA," 2"," 1",NA,NA," 2"," 5"," 5"," 5"," 6"," 7"," 7","Sporadic"
"Solidago canadensis",NA," 1"," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Myriophyllum aquaticum",NA,NA,NA,NA,NA," 2"," 1"," 1",NA,NA,NA,NA,NA,"Sporadic"
