Rhus typhina
Parthenocissus quinquefolia
Prunus laurocerasus
Rosa rugosa
Solidago gigantea
Rubus armeniacus
Robinia pseudoacacia
Acer negundo
Ailanthus altissima
Azolla filiculoides
Baccharis halimifolia
Cotoneaster horizontalis
Elaeagnus angustifolia
Elodea canadensis
Elodea nuttallii
Fallopia baldschuanica
Helianthus tuberosus
Heracleum mantegazzianum
Hydrocotyle ranunculoides
Impatiens glandulifera
Laburnum anagyroides
Lagarosiphon major
Lemna minuta
Lemna turionifera
Reynoutria japonica
Prunus serotina
Parthenocissus tricuspidata
Mahonia aquifolium
Parthenocissus inserta
Reynoutria bohemica
Ludwigia grandiflora
Solidago canadensis
Myriophyllum aquaticum
