"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina"," 1"," 2",NA,NA," 3",NA," 3"," 1"," 1"," 1"," 8"," 6"," 6","Sporadic"
"Parthenocissus quinquefolia",NA,NA,NA," 1",NA,NA,NA,NA,NA," 1"," 1",NA,NA,"Sporadic"
"Spiraea billardii"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Sporadic"
"Prunus laurocerasus"," 4"," 2"," 1",NA," 2",NA," 2"," 3"," 2","12","11","18","18","Sporadic"
"Rosa rugosa"," 1"," 7"," 3",NA," 3"," 6"," 2"," 2"," 3"," 3","19","16","16","Sporadic"
"Pistia stratiotes",NA,NA," 1",NA,NA,NA,NA," 1",NA,NA," 2",NA,NA,"Sporadic"
"Solidago gigantea"," 7","15","10"," 4","10"," 9"," 7"," 8"," 7","17","21","10","10","Present"
"Rubus armeniacus",NA," 2"," 1"," 2"," 1",NA,NA," 4"," 1"," 3"," 4"," 8"," 8","Sporadic"
"Robinia pseudoacacia"," 6","11"," 9"," 4","10"," 6"," 8","11","16","12","26","37","37","Present"
"Acer negundo"," 1"," 2",NA," 3"," 3"," 1"," 1",NA," 8"," 7","11"," 6"," 6","Sporadic"
"Ailanthus altissima"," 1"," 5"," 2"," 1",NA," 2"," 1"," 4"," 3","12"," 3"," 7"," 7","Sporadic"
"Azolla filiculoides"," 1"," 2",NA," 1",NA,NA," 1"," 2"," 1"," 2"," 5"," 4"," 4","Sporadic"
"Cotoneaster horizontalis"," 4"," 2",NA," 1",NA,NA," 1",NA," 1"," 2"," 2"," 2"," 2","Sporadic"
"Elaeagnus angustifolia",NA,NA,NA,NA,NA," 1"," 1",NA,NA,NA," 1",NA,NA,"Sporadic"
"Elodea canadensis",NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,"Sporadic"
"Elodea nuttallii",NA," 2"," 1"," 1",NA," 3",NA," 2"," 2"," 4"," 2"," 2"," 2","Sporadic"
"Fallopia baldschuanica",NA,NA,NA," 1"," 1"," 1",NA,NA," 1"," 1"," 3"," 2"," 2","Sporadic"
"Fraxinus pennsylvanica",NA,NA,NA," 1",NA,NA,NA," 3",NA," 1"," 1",NA,NA,"Sporadic"
"Helianthus tuberosus"," 1",NA,NA,NA,NA,NA," 1",NA,NA," 1"," 1"," 3"," 3","Sporadic"
"Helianthus laetiflorus",NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Heracleum mantegazzianum"," 3"," 9"," 4"," 3"," 9"," 2"," 6","11"," 5","10","21","24","24","Present"
"Hydrocotyle ranunculoides"," 1"," 1"," 2",NA,NA," 2"," 1"," 2"," 2",NA," 1"," 1"," 1","Sporadic"
"Impatiens capensis",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Impatiens glandulifera"," 13"," 42"," 26"," 20"," 27"," 34"," 34"," 38"," 35"," 50"," 76","112","112","Present"
"Laburnum anagyroides"," 2",NA," 1",NA,NA,NA," 1"," 2",NA," 1"," 2"," 1"," 1","Sporadic"
"Lagarosiphon major",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent"
"Lemna minuta",NA," 3"," 3"," 1"," 4"," 4"," 3"," 2"," 1"," 1","10"," 6"," 6","Present"
"Lemna turionifera",NA,NA,NA,NA,NA,NA,NA,NA," 1"," 2",NA," 1"," 1","Sporadic"
"Reynoutria japonica"," 9","33","16","32","55","27","29","38","41","61","61","77","77","Present"
"Prunus serotina"," 9"," 8","12","11","11"," 8","10","13","15","26","17","50","50","Present"
"Parthenocissus tricuspidata",NA," 2"," 1",NA,NA,NA," 2",NA,NA," 1"," 3"," 5"," 5","Sporadic"
"Mahonia aquifolium"," 8"," 4"," 3"," 5"," 4"," 3"," 5"," 5"," 3"," 9","12","17","17","Present"
"Parthenocissus inserta"," 1"," 1"," 1"," 2",NA," 3",NA," 1"," 3"," 2"," 2"," 2"," 2","Sporadic"
"Spiraea douglasii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2"," 2"," 2","Present"
"Reynoutria bohemica"," 4"," 9",NA," 1"," 2"," 2",NA," 1",NA,NA," 1",NA,NA,"Sporadic"
"Rudbeckia laciniata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Ludwigia grandiflora"," 2",NA," 1"," 2"," 1"," 3"," 3"," 5","10"," 8"," 9","11","11","Sporadic"
"Reynoutria sachalinensis"," 1",NA,NA,NA," 1",NA,NA," 1"," 1",NA,NA,NA,NA,"Sporadic"
"Spiraea salicifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Solidago canadensis"," 1"," 2"," 3"," 3",NA," 3"," 1"," 3"," 1"," 6"," 3"," 4"," 4","Sporadic"
"Myriophyllum aquaticum"," 3",NA," 1",NA,NA," 2"," 4",NA," 2"," 1"," 1"," 1"," 1","Sporadic"
"Ludwigia peploides",NA,NA,NA,NA,NA,NA,NA," 1"," 1",NA,NA,NA,NA,"Present"
