"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina"," 1"," 1"," 1",NA,NA," 2"," 1"," 2"," 3"," 2"," 4"," 8"," 8","Sporadic"
"Parthenocissus quinquefolia",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 3"," 3","Present"
"Prunus laurocerasus"," 3"," 1",NA," 1"," 2"," 2"," 3"," 2","13"," 6"," 6","11","11","Sporadic"
"Rosa rugosa"," 8"," 4"," 8",NA," 2","11","10"," 7"," 8","17","21","36","36","Sporadic"
"Pistia stratiotes",NA,NA,NA,NA,NA,NA,NA,NA," 2",NA,NA,NA,NA,"Present"
"Solidago gigantea"," 4"," 3"," 3"," 3","10","11"," 4"," 8"," 8","20","16","14","14","Present"
"Rubus armeniacus"," 1"," 2"," 2"," 2"," 1"," 4",NA," 1"," 4"," 2"," 2"," 1"," 1","Sporadic"
"Robinia pseudoacacia"," 8"," 7"," 3"," 5"," 5"," 7"," 9"," 8","16","14","28","40","40","Present"
"Acer negundo"," 1"," 2"," 1",NA," 1",NA," 1"," 4"," 5"," 7"," 4"," 6"," 6","Sporadic"
"Ailanthus altissima",NA," 2"," 1"," 1"," 1"," 4"," 1",NA," 9","13","12","17","17","Sporadic"
"Azolla filiculoides",NA," 1"," 3"," 1"," 4"," 4"," 2"," 5"," 8"," 2"," 3"," 4"," 4","Present"
"Cotoneaster horizontalis"," 2"," 2",NA,NA,NA,NA,NA," 1",NA,NA," 1",NA,NA,"Sporadic"
"Elaeagnus angustifolia"," 1"," 2"," 2",NA," 1"," 4"," 1"," 4"," 4","10","12","13","13","Sporadic"
"Elodea nuttallii",NA,NA," 1"," 1"," 1",NA,NA,NA,NA,NA," 1"," 2"," 2","Sporadic"
"Fallopia baldschuanica"," 2"," 2",NA,NA,NA,NA," 1",NA,NA,NA," 3"," 2"," 2","Sporadic"
"Fraxinus pennsylvanica",NA,NA," 1",NA,NA,NA,NA,NA,NA," 2"," 1"," 1"," 1","Sporadic"
"Helianthus tuberosus",NA,NA,NA," 1"," 1",NA,NA," 1"," 1",NA," 2"," 1"," 1","Sporadic"
"Helianthus laetiflorus",NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Heracleum mantegazzianum"," 3"," 2"," 1"," 4"," 3"," 2"," 6"," 4"," 5"," 3","15","11","11","Present"
"Hydrocotyle ranunculoides",NA,NA," 1"," 5"," 2"," 5"," 1"," 1",NA," 2"," 2"," 5"," 5","Sporadic"
"Impatiens capensis",NA,NA," 1"," 1"," 2",NA," 2",NA,NA,NA,NA," 2"," 2","Sporadic"
"Impatiens glandulifera","13","15","13","13","10","14","20","16","32","31","38","48","48","Present"
"Laburnum anagyroides"," 2"," 1",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Sporadic"
"Lagarosiphon major",NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Lemna minuta",NA," 1",NA,NA,NA," 3"," 1"," 1"," 3"," 2"," 1","10","10","Sporadic"
"Lemna turionifera",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA," 1"," 1","Sporadic"
"Reynoutria japonica","19","13","10","21","43","23","29","58","62","42","46","67","67","Present"
"Prunus serotina","14"," 3"," 8"," 3"," 3","16","15","13","22","17","36","32","32","Present"
"Parthenocissus tricuspidata"," 1",NA,NA," 1",NA," 1",NA,NA,NA," 3"," 1"," 6"," 6","Sporadic"
"Mahonia aquifolium"," 2"," 2"," 4"," 4",NA," 9"," 7"," 7"," 7","11","12","20","20","Sporadic"
"Parthenocissus inserta",NA,NA,NA,NA," 1"," 2",NA,NA," 3"," 1"," 2",NA,NA,"Sporadic"
"Spiraea douglasii",NA,NA,NA,NA,NA,NA,NA,NA," 2",NA," 1",NA,NA,"Sporadic"
"Reynoutria bohemica"," 2",NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1",NA,NA,"Sporadic"
"Rudbeckia laciniata",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA," 1"," 1","Sporadic"
"Reynoutria sachalinensis",NA,NA," 1",NA,NA,NA,NA," 1"," 1"," 1",NA," 1"," 1","Sporadic"
"Solidago canadensis"," 2"," 3"," 2"," 6"," 2"," 1",NA," 1"," 2"," 1",NA," 5"," 5","Sporadic"
"Myriophyllum aquaticum"," 1"," 1",NA," 1"," 2"," 1"," 1",NA,NA,NA," 1",NA,NA,"Sporadic"
"Ludwigia peploides",NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1",NA,NA,NA,"Present"
