"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA,NA," 1",NA," 2"," 1",NA," 1"," 3"," 3"," 2"," 5"," 5","Sporadic"
"Parthenocissus quinquefolia",NA," 1"," 1"," 1",NA,NA,NA,NA," 2",NA,NA," 2"," 2","Sporadic"
"Prunus laurocerasus",NA," 1"," 3"," 3"," 2"," 5"," 6"," 4"," 3"," 1"," 7","11","11","Present"
"Rosa rugosa"," 1"," 3",NA," 1",NA," 2"," 6"," 1"," 5"," 6","10","24","24","Sporadic"
"Spiraea alba",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Solidago gigantea"," 1"," 1"," 7"," 6"," 2","10"," 8"," 6","11","10","10","13","13","Present"
"Rubus armeniacus",NA,NA,NA,NA,NA,NA,NA,NA," 3",NA,NA,NA,NA,"Present"
"Robinia pseudoacacia"," 5"," 4","14"," 6"," 2"," 2","11","15","18"," 6","12","30","30","Present"
"Acer negundo",NA,NA,NA,NA,NA," 1"," 2",NA," 2",NA,NA," 1"," 1","Sporadic"
"Ailanthus altissima",NA,NA,NA,NA,NA,NA,NA," 1"," 4"," 1"," 2",NA,NA,"Present"
"Asclepias syriaca",NA,NA,NA," 1",NA,NA,NA,NA," 1",NA,NA,NA,NA,"Sporadic"
"Azolla filiculoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Cotoneaster horizontalis",NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Elaeagnus angustifolia",NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Elodea canadensis",NA,NA,NA,NA,NA,NA,NA," 1"," 1",NA," 1",NA,NA,"Sporadic"
"Elodea nuttallii"," 2"," 1"," 2",NA," 1",NA," 6"," 3",NA,NA," 3",NA,NA,"Sporadic"
"Fallopia baldschuanica"," 1"," 1",NA,NA,NA,NA," 1",NA,NA,NA,NA," 1"," 1","Sporadic"
"Fraxinus pennsylvanica",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,"Present"
"Helianthus tuberosus"," 1",NA,NA,NA,NA,NA," 2",NA,NA,NA," 1"," 1"," 1","Sporadic"
"Heracleum mantegazzianum"," 3"," 3"," 8"," 2"," 2"," 5","13"," 5"," 8"," 5"," 4","18","18","Present"
"Hydrocotyle ranunculoides"," 2"," 1"," 5"," 1"," 1",NA," 3"," 3"," 2",NA," 1"," 3"," 3","Sporadic"
"Impatiens capensis"," 4"," 2"," 5"," 7"," 4"," 5","10"," 4"," 3"," 3"," 4"," 7"," 7","Present"
"Impatiens glandulifera","10","12","17","14","11","14","36","30","28","30","27","72","72","Present"
"Koenigia polystachya",NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,"Sporadic"
"Laburnum anagyroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Present"
"Lemna minuta"," 2"," 4",NA," 1",NA," 1"," 1",NA," 4",NA," 2"," 2"," 2","Sporadic"
"Reynoutria japonica"," 8"," 9","16","20","17"," 9","23","23","36","24","41","59","59","Present"
"Prunus serotina"," 8"," 2","24","13","11","10","25","22","32","14","34","55","55","Present"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA,NA,NA,NA," 2"," 1"," 2"," 2","Present"
"Mahonia aquifolium"," 1",NA," 1"," 3"," 1"," 5"," 2"," 4"," 6"," 5"," 6"," 7"," 7","Sporadic"
"Parthenocissus inserta"," 1",NA,NA,NA,NA," 1"," 1",NA," 2",NA,NA,NA,NA,"Sporadic"
"Spiraea douglasii",NA," 1",NA," 1",NA,NA,NA,NA," 1"," 1",NA," 1"," 1","Sporadic"
"Reynoutria bohemica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"Present"
"Rudbeckia laciniata"," 1"," 1"," 3"," 4"," 1"," 6"," 1"," 2"," 7"," 3","12"," 9"," 9","Present"
"Ludwigia grandiflora"," 1"," 2"," 4"," 2"," 1",NA," 8"," 6"," 2"," 8","33","25","25","Sporadic"
"Reynoutria sachalinensis",NA,NA,NA,NA,NA," 1",NA,NA,NA," 1"," 3",NA,NA,"Sporadic"
"Solidago canadensis"," 2",NA," 2"," 5"," 1"," 2"," 2"," 4",NA," 1"," 5"," 3"," 3","Sporadic"
"Myriophyllum aquaticum"," 1"," 6"," 2",NA," 1"," 6"," 7"," 6"," 4"," 3"," 9"," 9"," 9","Sporadic"
"Ludwigia peploides",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 2",NA,NA,"Present"
