"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA,NA," 1"," 1"," 2"," 6"," 4"," 3"," 2"," 8","10","13","13","Present"
"Parthenocissus quinquefolia",NA," 1"," 1",NA,NA,NA," 1",NA," 1"," 1",NA," 2"," 2","Sporadic"
"Spiraea billardii",NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Prunus laurocerasus",NA," 1"," 1"," 2"," 2"," 3"," 2"," 6","16"," 7","18","17","17","Present"
"Rosa rugosa",NA,NA,NA," 2"," 3",NA," 5"," 2"," 2"," 7","12","18","18","Sporadic"
"Solidago gigantea"," 1"," 4"," 2"," 8"," 9"," 7"," 4"," 6","12","15","17","15","15","Present"
"Rubus armeniacus",NA,NA," 1",NA,NA,NA,NA,NA," 2"," 1",NA,NA,NA,"Sporadic"
"Robinia pseudoacacia"," 4"," 3"," 7"," 7","10","19","15","10","21","21","20","60","60","Present"
"Acer negundo",NA,NA,NA,NA," 1",NA," 3"," 1"," 2"," 3"," 3"," 4"," 4","Sporadic"
"Ailanthus altissima",NA,NA,NA,NA,NA," 4"," 5",NA," 2"," 5"," 2"," 6"," 6","Sporadic"
"Aponogeton distachyos",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Present"
"Asclepias syriaca",NA,NA,NA," 1",NA,NA," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
"Azolla filiculoides",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
"Cotoneaster horizontalis",NA,NA,NA," 1",NA,NA,NA,NA," 1"," 1"," 1"," 3"," 3","Sporadic"
"Elodea canadensis",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA," 1",NA,NA,"Sporadic"
"Elodea nuttallii"," 2",NA," 3"," 2"," 2"," 3"," 3"," 4"," 3"," 4"," 9"," 2"," 2","Sporadic"
"Fallopia baldschuanica"," 1",NA," 1"," 1",NA,NA," 2",NA,NA," 1"," 2"," 1"," 1","Sporadic"
"Helianthus tuberosus",NA,NA,NA," 1"," 1"," 1"," 2",NA,NA,NA," 1"," 2"," 2","Sporadic"
"Heracleum mantegazzianum","11"," 6"," 4","12","12","17","10"," 9","11","12","11","19","19","Present"
"Hydrocotyle ranunculoides",NA,NA,NA,NA,NA,NA," 2"," 1"," 4"," 3","14"," 4"," 4","Present"
"Impatiens capensis",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA," 1"," 2"," 2","Sporadic"
"Impatiens glandulifera"," 9","22","19","18","14","34","27","22","23","33","50","57","57","Present"
"Koenigia polystachya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 1","Present"
"Laburnum anagyroides"," 1",NA,NA," 1"," 1"," 1",NA,NA," 1"," 1"," 2",NA,NA,"Sporadic"
"Lagarosiphon major",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2",NA,NA,"Present"
"Lemna minuta",NA," 1"," 1",NA," 3",NA,NA," 1"," 1"," 1"," 2"," 2"," 2","Sporadic"
"Reynoutria japonica"," 8"," 5","11","12","18","23","35","29","46","33","37","70","70","Present"
"Myriophyllum rubricaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent"
"Prunus serotina","11","10","11","10","21","32","34","28","35","51","62","96","96","Present"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA," 3"," 1",NA," 2"," 6"," 2"," 2","Sporadic"
"Mahonia aquifolium"," 2"," 1"," 2"," 5"," 6"," 4"," 7"," 4","10"," 7","11","14","14","Present"
"Parthenocissus inserta",NA,NA," 1",NA,NA," 3"," 1",NA," 3"," 3"," 3"," 2"," 2","Sporadic"
"Spiraea douglasii",NA," 1",NA," 2"," 2",NA," 1",NA," 1",NA," 2",NA,NA,"Sporadic"
"Ludwigia grandiflora",NA,NA,NA," 2",NA," 1"," 2",NA," 2","10","26","15","15","Sporadic"
"Reynoutria sachalinensis",NA,NA,NA,NA,NA,NA,NA," 1",NA," 2"," 1",NA,NA,"Sporadic"
"Solidago canadensis",NA,NA," 3"," 2"," 1"," 2"," 7"," 4"," 4","11"," 5"," 8"," 8","Present"
"Myriophyllum aquaticum",NA," 6"," 3"," 4"," 2"," 5"," 5"," 7"," 7","10","12","12","12","Present"
