Rhus typhina
Parthenocissus quinquefolia
Spiraea billardii
Prunus laurocerasus
Rosa rugosa
Solidago gigantea
Rubus armeniacus
Robinia pseudoacacia
Acer negundo
Ailanthus altissima
Aponogeton distachyos
Asclepias syriaca
Azolla filiculoides
Cotoneaster horizontalis
Elodea canadensis
Elodea nuttallii
Fallopia baldschuanica
Helianthus tuberosus
Heracleum mantegazzianum
Hydrocotyle ranunculoides
Impatiens capensis
Impatiens glandulifera
Koenigia polystachya
Laburnum anagyroides
Lagarosiphon major
Lemna minuta
Reynoutria japonica
Myriophyllum rubricaule
Prunus serotina
Parthenocissus tricuspidata
Mahonia aquifolium
Parthenocissus inserta
Spiraea douglasii
Ludwigia grandiflora
Reynoutria sachalinensis
Solidago canadensis
Myriophyllum aquaticum
