"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA," 1",NA,NA," 1"," 1"," 1",NA," 2",NA,NA," 1"," 1","Sporadic"
"Parthenocissus quinquefolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Prunus laurocerasus",NA,NA,NA,NA," 1",NA," 1",NA,"10"," 2"," 3"," 9"," 9","Sporadic"
"Rosa rugosa",NA,NA,NA,NA," 2"," 2",NA," 1"," 2"," 9"," 7","19","19","Sporadic"
"Solidago gigantea"," 4"," 1"," 3"," 2"," 8"," 6"," 2"," 4","12"," 7"," 7","13","13","Present"
"Rubus armeniacus",NA,NA,NA,NA,NA,NA,NA,NA," 4"," 1"," 2"," 1"," 1","Present"
"Robinia pseudoacacia"," 3"," 3"," 4","10"," 4"," 5"," 2"," 6","17"," 9","25","28","28","Present"
"Acer negundo",NA,NA,NA,NA," 2",NA,NA," 2"," 2"," 3"," 1"," 4"," 4","Sporadic"
"Ailanthus altissima",NA,NA,NA,NA," 1"," 1",NA,NA," 2"," 5"," 2"," 8"," 8","Sporadic"
"Azolla filiculoides",NA,NA," 1",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,"Sporadic"
"Baccharis halimifolia",NA,NA,NA,NA," 2"," 2"," 2",NA,NA," 2"," 2",NA,NA,"Sporadic"
"Cotoneaster horizontalis",NA,NA,NA,NA,NA," 1",NA,NA," 1"," 1"," 2"," 4"," 4","Sporadic"
"Elaeagnus angustifolia",NA,NA,NA,NA,NA,NA,NA,NA," 2",NA,NA,NA,NA,"Present"
"Elodea nuttallii",NA," 2",NA,NA," 1"," 1",NA,NA,NA,NA," 1"," 1"," 1","Sporadic"
"Fallopia baldschuanica",NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Fraxinus pennsylvanica",NA,NA," 1",NA,NA,NA,NA,NA,NA," 1"," 1",NA,NA,"Sporadic"
"Helianthus tuberosus",NA,NA,NA," 1"," 1",NA,NA,NA," 1",NA," 1"," 2"," 2","Sporadic"
"Heracleum mantegazzianum"," 1",NA," 1"," 6"," 3"," 5"," 8"," 9"," 9","14","17","10","10","Sporadic"
"Hydrocotyle ranunculoides",NA,NA,NA," 2"," 3"," 1"," 1",NA,NA," 1",NA," 3"," 3","Sporadic"
"Impatiens capensis",NA,NA," 1"," 1"," 2",NA," 3"," 1",NA,NA,NA," 1"," 1","Sporadic"
"Impatiens glandulifera","10"," 7"," 8","15"," 8"," 9","10","15","20","15","25","34","34","Present"
"Laburnum anagyroides",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,"Present"
"Lemna minuta"," 1",NA," 1",NA,NA,NA,NA," 1"," 3",NA,NA," 4"," 4","Sporadic"
"Reynoutria japonica","17"," 7"," 8","19","34"," 9","12","41","38","40","23","64","64","Present"
"Myriophyllum rubricaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2"," 2","Present"
"Prunus serotina"," 7"," 3"," 2"," 3"," 5"," 2"," 3","10","11","11","18","24","24","Present"
"Parthenocissus tricuspidata",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 1"," 1","Present"
"Mahonia aquifolium"," 1",NA," 1"," 1"," 1"," 3"," 2"," 1"," 5"," 7"," 6"," 7"," 7","Sporadic"
"Parthenocissus inserta"," 1",NA,NA," 1"," 1",NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Spiraea douglasii",NA,NA,NA," 2",NA,NA,NA,NA,NA,NA,NA," 1"," 1","Sporadic"
"Reynoutria bohemica",NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Ludwigia grandiflora"," 1"," 2"," 1",NA,NA,NA,NA," 1"," 4"," 2"," 1"," 2"," 2","Sporadic"
"Reynoutria sachalinensis"," 1"," 1",NA,NA,NA,NA,NA,NA,NA," 2"," 1"," 1"," 1","Sporadic"
"Solidago canadensis"," 1"," 2"," 1"," 4",NA," 2",NA," 3"," 1"," 1",NA," 1"," 1","Sporadic"
"Myriophyllum aquaticum"," 1",NA,NA,NA,NA,NA," 2",NA," 1"," 1"," 2"," 2"," 2","Sporadic"
