"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina",NA," 1"," 2",NA," 1"," 3"," 1"," 1",NA," 3"," 2","11","11","Sporadic"
"Parthenocissus quinquefolia",NA," 1",NA,NA,NA,NA,NA," 1",NA," 1",NA," 2"," 2","Sporadic"
"Prunus laurocerasus",NA," 1"," 3"," 1",NA," 2"," 5"," 5"," 3"," 1"," 2","11","11","Sporadic"
"Rosa rugosa"," 1",NA,NA,NA,NA," 1"," 4"," 3"," 2"," 4","12","22","22","Sporadic"
"Spiraea alba",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Solidago gigantea"," 2"," 4"," 7"," 2"," 5","10"," 6"," 3"," 5"," 9"," 8","16","16","Present"
"Rubus armeniacus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2"," 2","Present"
"Robinia pseudoacacia"," 5"," 6","13"," 4"," 6"," 8"," 8"," 8"," 9"," 8","11","35","35","Present"
"Acer negundo",NA,NA,NA," 1",NA," 1"," 2",NA,NA," 1"," 4"," 3"," 3","Sporadic"
"Ailanthus altissima",NA," 3"," 2"," 1"," 2",NA," 2"," 5",NA," 6"," 4"," 8"," 8","Sporadic"
"Asclepias syriaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1","Present"
"Azolla filiculoides",NA,NA,NA,NA," 1",NA,NA," 1",NA," 1"," 1",NA,NA,"Sporadic"
"Cotoneaster horizontalis",NA,NA,NA," 1",NA,NA,NA," 1",NA,NA," 2"," 2"," 2","Sporadic"
"Elaeagnus angustifolia",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,"Sporadic"
"Elodea nuttallii",NA,NA,NA," 1",NA,NA," 6"," 2",NA,NA," 3",NA,NA,"Sporadic"
"Fallopia baldschuanica",NA," 2",NA,NA,NA," 1"," 1",NA," 1"," 1"," 1"," 6"," 6","Sporadic"
"Helianthus tuberosus",NA,NA,NA,NA,NA,NA," 2",NA,NA,NA,NA,NA,NA,"Sporadic"
"Heracleum mantegazzianum"," 9"," 3"," 9"," 4"," 7"," 9","12","11"," 8"," 9","12","21","21","Present"
"Hydrocotyle ranunculoides",NA,NA,NA,NA,NA,NA," 1"," 1"," 1",NA," 3"," 5"," 5","Sporadic"
"Impatiens capensis","5","2","4","6","4","6","8","4","3","3","5","7","7","Present"
"Impatiens glandulifera","11"," 9","17"," 9","10","13","28","26","16","18","16","40","40","Present"
"Koenigia polystachya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1"," 1","Present"
"Laburnum anagyroides",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA," 2",NA,NA,"Sporadic"
"Lemna minuta",NA,NA,NA,NA,NA," 1",NA," 1",NA,NA," 2"," 3"," 3","Sporadic"
"Reynoutria japonica"," 6","13","14","15","10","14","25","29","33","39","33","43","43","Present"
"Prunus serotina"," 7"," 2","26"," 6"," 7","14","16"," 8","14","14","21","37","37","Present"
"Parthenocissus tricuspidata"," 1",NA,NA,NA,NA,NA," 2"," 1"," 1"," 2"," 3"," 1"," 1","Sporadic"
"Mahonia aquifolium"," 2"," 5"," 5"," 2"," 2"," 4"," 5"," 5"," 6"," 4"," 8","15","15","Present"
"Parthenocissus inserta"," 1"," 4"," 1",NA,NA," 3"," 4"," 1",NA," 1"," 1"," 3"," 3","Sporadic"
"Spiraea douglasii",NA," 1",NA," 1"," 1",NA,NA,NA,NA,NA," 1"," 1"," 1","Sporadic"
"Reynoutria bohemica",NA,NA,NA," 1",NA,NA,NA,NA,NA,NA," 1",NA,NA,"Sporadic"
"Myriophyllum heterophyllum",NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic"
"Rudbeckia laciniata",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA," 1",NA,NA,"Sporadic"
"Ludwigia grandiflora"," 2",NA,NA,NA," 1"," 2"," 4"," 8"," 6"," 6","16","12","12","Sporadic"
"Reynoutria sachalinensis",NA,NA,NA,NA,NA," 1",NA,NA,NA," 1"," 1",NA,NA,"Sporadic"
"Solidago canadensis",NA," 2"," 1"," 1"," 1"," 1"," 2"," 4"," 2"," 3"," 4"," 6"," 6","Present"
"Myriophyllum aquaticum",NA," 1",NA,NA,NA," 1"," 3",NA,NA," 1"," 2"," 1"," 1","Sporadic"
