Rhus typhina
Parthenocissus quinquefolia
Prunus laurocerasus
Rosa rugosa
Spiraea alba
Solidago gigantea
Rubus armeniacus
Robinia pseudoacacia
Acer negundo
Ailanthus altissima
Asclepias syriaca
Azolla filiculoides
Cotoneaster horizontalis
Elaeagnus angustifolia
Elodea nuttallii
Fallopia baldschuanica
Helianthus tuberosus
Heracleum mantegazzianum
Hydrocotyle ranunculoides
Impatiens capensis
Impatiens glandulifera
Koenigia polystachya
Laburnum anagyroides
Lemna minuta
Reynoutria japonica
Prunus serotina
Parthenocissus tricuspidata
Mahonia aquifolium
Parthenocissus inserta
Spiraea douglasii
Reynoutria bohemica
Myriophyllum heterophyllum
Rudbeckia laciniata
Ludwigia grandiflora
Reynoutria sachalinensis
Solidago canadensis
Myriophyllum aquaticum
