"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2021","status"
"Rhus typhina"," 26"," 34"," 32"," 35"," 39"," 44"," 39"," 54"," 47"," 91","124","174","174","Present"
"Parthenocissus quinquefolia"," 4"," 3"," 3"," 5"," 8","13"," 9","12","28","17","21","31","31","Present"
"Spiraea billardii"," 7"," 2"," 4",NA,NA," 4"," 1"," 2"," 1",NA," 1"," 1"," 1","Sporadic"
"Prunus laurocerasus"," 38"," 51"," 36"," 62"," 62","172","169","175","264","198","373","549","549","Present"
"Rosa rugosa"," 67"," 66"," 57"," 57"," 70"," 90"," 98","163","166","277","482","707","707","Present"
"Spiraea alba",NA,NA,NA," 1",NA," 1",NA," 1"," 1"," 2"," 4"," 8"," 8","Sporadic"
"Pistia stratiotes"," 1"," 1"," 1"," 2"," 1"," 1"," 1","13"," 7"," 1"," 5"," 2"," 2","Present"
"Solidago gigantea","134","235","182","182","235","264","238","246","289","379","448","444","444","Present"
"Rubus armeniacus"," 8","15","20","11"," 6","16"," 8","19","34","24","31","32","32","Present"
"Robinia pseudoacacia"," 208"," 277"," 239"," 243"," 267"," 342"," 366"," 372"," 545"," 446"," 675","1168","1168","Present"
"Acer negundo"," 27"," 32"," 19"," 29"," 32"," 19"," 32"," 51"," 74"," 74","105"," 93"," 93","Present"
"Ailanthus altissima"," 24"," 59"," 22"," 23"," 37"," 31"," 34"," 59"," 69","133","122","149","149","Present"
"Aponogeton distachyos",NA,NA," 1"," 1"," 3"," 3"," 1"," 3"," 7"," 4","12"," 8"," 8","Present"
"Arundo donax",NA," 2",NA,NA," 1"," 2",NA,NA," 1"," 1",NA,NA,NA,"Sporadic"
"Asclepias syriaca",NA,NA," 1"," 2",NA," 1"," 2"," 2"," 4"," 3"," 8","16","16","Sporadic"
"Azolla filiculoides"," 9","20","15","20","38","30","49","38","42","32","45","42","42","Present"
"Baccharis halimifolia","10"," 4"," 8"," 4"," 9","18","23","13","18","25","37","34","34","Present"
"Cabomba caroliniana",NA,NA,NA,NA," 1",NA," 2"," 4"," 2"," 1"," 2",NA,NA,"Sporadic"
"Cotoneaster horizontalis","61","63","26","29","34","27","16","27","31","46","72","51","51","Present"
"Elaeagnus angustifolia"," 9"," 7"," 7"," 4"," 7","13"," 9","23","31","33","48","53","53","Present"
"Elodea canadensis"," 3"," 3"," 4"," 8"," 4"," 1","17"," 6"," 5"," 1","11"," 4"," 4","Present"
"Elodea nuttallii"," 55"," 42"," 60"," 50"," 59"," 94","114"," 97","112"," 66"," 77"," 79"," 79","Present"
"Fallopia baldschuanica","28","20","24","11","18","25","32","22","33","41","59","63","63","Present"
"Fraxinus pennsylvanica"," 1",NA," 1"," 2"," 3"," 1"," 1"," 8"," 4","19"," 5"," 1"," 1","Sporadic"
"Helianthus tuberosus","17","24","26","24","28","19","35","20","28","27","48","59","59","Present"
"Helianthus laetiflorus"," 3"," 3"," 8"," 5"," 6",NA," 3"," 2"," 1"," 2"," 5"," 3"," 3","Sporadic"
"Heracleum mantegazzianum","173","195","213","432","276","326","406","410","350","381","518","670","670","Present"
"Hydrocotyle ranunculoides"," 24"," 63"," 51"," 40"," 45"," 67","128","115","107","103","111"," 98"," 98","Present"
"Impatiens capensis"," 5"," 2"," 6"," 9"," 6","11","14"," 5"," 4"," 4"," 8","15","15","Present"
"Impatiens glandulifera"," 227"," 410"," 346"," 386"," 350"," 411"," 586"," 552"," 582"," 719"," 862","1431","1431","Present"
"Koenigia polystachya",NA," 3"," 3"," 3"," 3"," 7"," 5"," 7","10"," 8","13","11","11","Present"
"Laburnum anagyroides","18"," 8"," 8","11","12"," 9"," 6","18","15","17","41","32","32","Present"
"Lagarosiphon major",NA,NA,NA," 3"," 9"," 4"," 3"," 3"," 4"," 4"," 5"," 3"," 3","Present"
"Lemna minuta"," 21"," 57"," 52"," 29"," 83","101","121","100"," 88"," 49","100"," 97"," 97","Present"
"Lemna turionifera"," 1"," 2",NA," 1"," 5"," 6"," 6"," 5","27","14","20","17","17","Sporadic"
"Reynoutria japonica"," 258"," 480"," 311"," 526"," 609"," 544"," 669"," 980"," 938"," 919","1048","1636","1636","Present"
"Myriophyllum rubricaule",NA,NA,NA," 1"," 1",NA,NA,NA," 1"," 1"," 2"," 9"," 9","Sporadic"
"Prunus serotina"," 327"," 311"," 420"," 360"," 482"," 670"," 731"," 893"," 929","1008","1342","2026","2026","Present"
"Parthenocissus tricuspidata"," 2"," 5"," 6"," 3"," 2"," 3","15","11","27","57","80","69","69","Present"
"Mahonia aquifolium"," 91"," 81","100"," 89"," 97","161","120","157","171","224","351","391","391","Present"
"Parthenocissus inserta","26","31","35","30","35","41","47","49","39","36","60","50","50","Present"
"Spiraea tomentosa","2","1","2","1","3","1","3","6","7","2","3","2","2","Present"
"Spiraea douglasii"," 8","14"," 9","13","12","12","28","25","25","41","52","33","33","Present"
"Reynoutria bohemica","27","40"," 6"," 6"," 6"," 6"," 7"," 3"," 7","10","15"," 8"," 8","Present"
"Myriophyllum heterophyllum"," 2"," 1","15"," 4"," 1"," 3"," 8","11","13","10","15"," 9"," 9","Present"
"Rudbeckia laciniata"," 4"," 3"," 7"," 8"," 2"," 7"," 4"," 6","11"," 7","23","23","23","Present"
"Ludwigia grandiflora"," 20"," 24"," 24"," 26"," 27"," 37"," 65"," 78","105","109","173","159","159","Present"
"Reynoutria sachalinensis"," 7"," 4"," 3"," 9","17","10","14","18","17","14","23","19","19","Present"
"Spiraea salicifolia",NA," 1"," 1"," 1",NA,NA,NA,NA," 1",NA," 2"," 2"," 2","Sporadic"
"Solidago canadensis"," 47"," 54"," 95"," 89"," 58"," 58"," 89","110"," 77","107","113","149","149","Present"
"Myriophyllum aquaticum","19","26","29","29","52","72","82","67","71","65","85","91","91","Present"
"Ludwigia peploides",NA,NA,NA," 3"," 3"," 5"," 6"," 5"," 4"," 4"," 6"," 3"," 3","Present"
