;;;VLAANDEREN;aBS;;;;;;;aZS;;;;;;DS;;;
;;;Vlaanderen;District 1 ;District 2 ;District 3 ;District 4 ;District 5 ;District 6 ;District 7 ;District 1 ;District 2 ;District 3 ;District 4 ;District 5 ;District 6 ;District 1;District 2;District 3;District 4
Acer negundo;oever;Acer negundo;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic
Ailanthus altissima;oever;Ailanthus altissima;Present;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic
Alternanthera philoxeroides;water;Alternanthera philoxeroides;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
Aponogeton distachyos;water;Aponogeton distachyos;Present;Absent;Absent;Absent;Absent;Absent;Present;Absent;Absent;Present;Absent;Present;Absent;Absent;Sporadic;Absent;Absent;Present
Arundo donax;oever;Arundo donax;Sporadic;Absent;Absent;Absent;Absent;Absent;Absent;Present;Sporadic;Sporadic;Absent;Absent;Sporadic;Sporadic;Absent;Absent;Sporadic;Absent
Asclepias syriaca;oever;Asclepias syriaca;Sporadic;Sporadic;Sporadic;Absent;Present;Present;Present;Absent;Absent;Present;Sporadic;Sporadic;Present;Present;Present;Sporadic;Sporadic;Sporadic
Azolla filiculoides;water;Azolla filiculoides;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present
Baccharis halimifolia;oever;Baccharis halimifolia;Present;Absent;Absent;Sporadic;Sporadic;Sporadic;Sporadic;Present;Absent;Sporadic;Absent;Absent;Sporadic;Absent;Absent;Sporadic;Absent;Absent
Cabomba caroliniana;water;Cabomba caroliniana;Sporadic;Absent;Absent;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Present;Present;Sporadic;Absent
Cotoneaster horizontalis;oever;Cotoneaster horizontalis;Present;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present
Elaeagnus angustifolia;oever;Elaeagnus angustifolia;Present;Absent;Absent;Absent;Present;Absent;Absent;Absent;Sporadic;Sporadic;Present;Absent;Absent;Absent;Present;Sporadic;Sporadic;Present
Elodea canadensis;water;Elodea canadensis;Present;Present;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Present;Present;Present;Present
Elodea densa;water;Elodea densa;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Absent;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic
Elodea nuttallii;water;Elodea nuttallii;Present;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
Fallopia baldschuanica;oever;Fallopia baldschuanica;Present;Sporadic;Present;Sporadic;Absent;Sporadic;Present;Absent;Sporadic;Sporadic;Present;Absent;Sporadic;Sporadic;Absent;Absent;Present;Absent
Fraxinus pennsylvanica;oever;Fraxinus pennsylvanica;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Absent;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present
Gymnocoronis spilanthoides;water;Gymnocoronis spilanthoides;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
Helianthus laetiflorus;oever;Helianthus laetiflorus;Sporadic;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present
Helianthus tuberosus;oever;Helianthus tuberosus;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic
Heracleum mantegazzianum;oever;Heracleum mantegazzianum;Present;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent
Hydrilla verticillata;water;Hydrilla verticillata;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
Hydrocharis laevigata;water;Hydrocharis laevigata;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Present;Present;Present;Present
Hydrocotyle ranunculoides;water;Hydrocotyle ranunculoides;Present;Present;Sporadic;Present;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Present
Impatiens capensis;oever;Impatiens capensis;Present;Present;Absent;Present;Sporadic;Sporadic;Absent;Absent;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Present;Absent;Sporadic;Absent
Impatiens glandulifera;oever;Impatiens glandulifera;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present
Koenigia polystachya;oever;Koenigia polystachya;Present;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Present;Present;Sporadic;Present
Laburnum anagyroides;oever;Laburnum anagyroides;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic
Lagarosiphon major;water;Lagarosiphon major;Present;Sporadic;Present;Sporadic;Sporadic;Absent;Absent;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Absent;Absent;Absent;Absent
Lemna minuta;water;Lemna minuta;Present;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present;Present
Lemna turionifera;water;Lemna turionifera;Sporadic;Present;Absent;Absent;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Absent;Absent;Sporadic;Absent;Sporadic;Sporadic;Absent;Absent
Ludwigia grandiflora;water;Ludwigia grandiflora;Present;Present;Present;Sporadic;Absent;Sporadic;Sporadic;Absent;Present;Present;Present;Absent;Absent;Absent;Absent;Absent;Absent;Present
