;;;Vlaanderen;District 1 ;District 2 ;District 3 ;District 4 ;District 5 ;District 6 ;District 7 ;District 1 ;District 2 ;District 3 ;District 4 ;District 5 ;District 6 ;District 1;District 2;District 3;District 4
;;;VLAANDEREN;aBS;;;;;;;aZS;;;;;;DS;;;
DISTRICT;water;Alternanthera philoxeroides;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
DISTRICT;water;Aponogeton distachyos;Present;Absent;Absent;Absent;Absent;Absent;Present;Absent;Absent;Present;Absent;Present;Absent;Absent;Sporadic;Absent;Absent;Present
DISTRICT;water;Azolla filiculoides;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present
DISTRICT;water;Cabomba caroliniana;Sporadic;Absent;Absent;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Present;Present;Sporadic;Absent
DISTRICT;water;Elodea canadensis;Present;Present;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Present;Present;Present;Present
DISTRICT;water;Elodea densa;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Absent;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic
DISTRICT;water;Elodea nuttallii;Present;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
DISTRICT;water;Gymnocoronis spilanthoides;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
DISTRICT;water;Hydrilla verticillata;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
DISTRICT;water;Hydrocharis laevigata;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Present;Present;Present;Present
DISTRICT;water;Hydrocotyle ranunculoides;Present;Present;Sporadic;Present;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Present
DISTRICT;water;Lagarosiphon major;Present;Sporadic;Present;Sporadic;Sporadic;Absent;Absent;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Absent;Absent;Absent;Absent
DISTRICT;water;Lemna minuta;Present;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present;Present
DISTRICT;water;Lemna turionifera;Sporadic;Present;Absent;Absent;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Absent;Absent;Sporadic;Absent;Sporadic;Sporadic;Absent;Absent
DISTRICT;water;Ludwigia grandiflora;Present;Present;Present;Sporadic;Absent;Sporadic;Sporadic;Absent;Present;Present;Present;Absent;Absent;Absent;Absent;Absent;Absent;Present
DISTRICT;water;Ludwigia peploides;Present;Present;Present;Present;Present;Sporadic;Present;Present;Present;Present;Sporadic;Present;Present;Present;Present;Present;Present;Present
DISTRICT;water;Myriophyllum aquaticum;Present;Present;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent;Present;Absent;Sporadic;Absent;Sporadic;Sporadic;Present
DISTRICT;water;Myriophyllum heterophyllum;Present;Present;Absent;Present;Absent;Absent;Sporadic;Absent;Absent;Present;Present;Absent;Present;Present;Present;Sporadic;Absent;Present
DISTRICT;water;Myriophyllum rubricaule;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present;Sporadic
DISTRICT;water;Pistia stratiotes;Present;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Sporadic;Sporadic;Sporadic
DISTRICT;water;Pontederia crassipes;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Sporadic;Sporadic
DISTRICT;water;Salvinia molesta;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
