;;aBS;;;;;;;aZS;;;;;;DS;;;
;;District 1 ;District 2 ;District 3 ;District 4 ;District 5 ;District 6 ;District 7 ;District 1 ;District 2 ;District 3 ;District 4 ;District 5 ;District 6 ;District 1;District 2;District 3;District 4
oever;Acer negundo;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic
oever;Ailanthus altissima;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
water;Alternanthera philoxeroides;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
water;Aponogeton distachyos;Absent;Absent;Absent;Absent;Absent;Present;Absent;Absent;Absent;Absent;Present;Absent;Absent;Absent;Absent;Absent;Absent
oever;Arundo donax;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent
oever;Asclepias syriaca;Absent;Absent;Absent;Absent;Absent;Present;Absent;Absent;Absent;Sporadic;Sporadic;Absent;Present;Absent;Sporadic;Absent;Sporadic
water;Azolla filiculoides;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Present
oever;Baccharis halimifolia;Absent;Absent;Present;Sporadic;Present;Sporadic;Sporadic;Absent;Absent;Absent;Absent;Sporadic;Absent;Absent;Sporadic;Absent;Absent
water;Cabomba caroliniana;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Present;Present;Sporadic;Absent
oever;Cotoneaster horizontalis;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Absent
oever;Elaeagnus angustifolia;Sporadic;Present;Sporadic;Sporadic;Sporadic;Absent;Present;Sporadic;Sporadic;Sporadic;Absent;Present;Sporadic;Absent;Absent;Sporadic;Sporadic
