"","...1","aBS - District 1 (Gent)","aBS - District 2 (Boven-Schelde)","aBS - District 3 (Leie)","aBS - District 4 (Dender, Moervaart)","aBS - District 5 (Kanalen-Oost)","aBS - District 6 (Kanalen-West)","aBS - District 7 (IJzer)","aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme)","aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel)","aZS - District 3 (Netes)","aZS - District 4 (Dijle, Demer, Beneden-Zenne)","aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne)","aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal)","DS_District 1","DS_District 2","DS_District 3","DS_District 4"
"1","Rhus typhina","Present","Sporadic","Sporadic","Present","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic"
"2","Parthenocissus quinquefolia","Present","Sporadic","Present","Sporadic","Present",NA,"Present","Sporadic","Present","Sporadic","Sporadic","Present","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic"
"3","Spiraea billardii","Sporadic","Sporadic",NA,NA,"Present",NA,NA,"Sporadic",NA,NA,"Sporadic",NA,NA,"Sporadic",NA,NA,NA
"4","Prunus laurocerasus","Present","Present","Sporadic","Sporadic","Present","Sporadic","Sporadic","Sporadic","Sporadic","Present","Present","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic"
"5","Rosa rugosa","Present","Present","Sporadic","Sporadic","Present","Sporadic","Present","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Present"
"6","Spiraea alba","Present",NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic",NA,NA,"Sporadic",NA,"Absent","Sporadic",NA
"7","Solidago gigantea","Present","Present","Present","Present","Present","Present","Present","Present","Present","Present","Present","Present","Present","Present","Present","Present","Sporadic"
"8","Rubus armeniacus","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Sporadic","Present","Sporadic","Present","Present","Present","Sporadic","Sporadic","Sporadic"
"9","Robinia pseudoacacia","Present","Present","Sporadic","Present","Present","Sporadic","Sporadic","Present","Present","Present","Present","Present","Present","Present","Present","Sporadic","Present"
"10","Acer negundo","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Sporadic"
"11","Ailanthus altissima","Present","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Present","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic"
"12","Azolla filiculoides","Sporadic","Sporadic","Sporadic","Present","Present","Sporadic","Sporadic","Sporadic","Present","Present","Sporadic","Sporadic","Sporadic","Sporadic","Absent","Sporadic","Present"
"13","Cotoneaster horizontalis","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic","Sporadic",NA
"14","Elaeagnus angustifolia","Sporadic","Present","Sporadic","Sporadic","Sporadic","Absent","Present","Sporadic","Sporadic","Sporadic",NA,"Present","Sporadic","Absent","Absent","Sporadic","Sporadic"
