taxonKey	year	classKey	obs	cobs	ncells	c_ncells	canonicalName	method	fit	ucl	lcl	em1	em2	em	em_status	growth
2650107	2001	7228684	7	8	7	3	Azolla filiculoides	correct_baseline	7.25449016587507	13.68160239857397	3.8465982297704735	-1	1	-2	0	0.6012770914347534
2650107	2002	7228684	11	1	9	1	Azolla filiculoides	correct_baseline	5.565608903291376	8.883387455448633	3.486958395065508	-1	1	-2	0	0.6885998357758547
2650107	2003	7228684	3	0	3	0	Azolla filiculoides	correct_baseline	4.692438603033464	7.0298751148727625	3.1322007408999593	-1	1	-2	0	0.786566530621508
2650107	2004	7228684	2	3	2	1	Azolla filiculoides	correct_baseline	4.339617310276988	6.492792536831682	2.9004897804489764	0	1	1	2	0.8918884920365039
2650107	2005	7228684	3	1	3	1	Azolla filiculoides	correct_baseline	4.381278026034387	6.603505514229387	2.9068798534427893	0	1	1	2	0.995359785376316
2650107	2006	7228684	2	1	2	1	Azolla filiculoides	correct_baseline	4.7878380055344145	7.140752899894399	3.2102206992176927	1	1	4	3	1.0811357818821759
2650107	2007	7228684	7	2	7	1	Azolla filiculoides	correct_baseline	5.593473878945032	8.077943630293106	3.873132998491243	1	1	4	3	1.1411755452502452
2650107	2008	7228684	12	2	11	2	Azolla filiculoides	correct_baseline	6.877770934137992	9.488439979324637	4.9854067818891705	1	1	4	3	1.181505679070407
2650107	2009	7228684	9	10	6	4	Azolla filiculoides	correct_baseline	8.745673999557283	11.532312287944228	6.632391821932441	1	1	4	3	1.2062243626871247
2650107	2010	7228684	9	10	9	4	Azolla filiculoides	correct_baseline	11.294662381135147	14.457653862480514	8.823658355446495	1	0	3	3	1.2162433797574648
2650107	2011	7228684	30	18	20	12	Azolla filiculoides	correct_baseline	14.565671658008482	18.511571732994216	11.46087398244899	1	-1	2	2	1.211928627527071
2650107	2012	7228684	21	19	15	8	Azolla filiculoides	correct_baseline	18.48895141438657	23.712160792574338	14.416287380718064	1	-1	2	2	1.1940146557855678
2650107	2013	7228684	27	22	20	10	Azolla filiculoides	correct_baseline	22.852763362332816	29.712821534356532	17.57654663293797	1	-1	2	2	1.1641794201884101
2650107	2014	7228684	58	38	38	14	Azolla filiculoides	correct_baseline	27.325816370650433	35.918764622028156	20.788583576857572	1	-1	2	2	1.1264048216092464
2650107	2015	7228684	59	155	30	21	Azolla filiculoides	correct_baseline	31.540480056495692	41.718266372590975	23.845714807741633	1	-1	2	2	1.087462442078792
2650107	2016	7228684	81	66	49	26	Azolla filiculoides	correct_baseline	35.20378285379067	46.64843774822929	26.56694172494315	1	-1	2	2	1.053888432607205
2650107	2017	7228684	64	379	38	29	Azolla filiculoides	correct_baseline	38.18038648570432	50.40666168021069	28.919628152444226	1	-1	2	2	1.0285193136485598
2650107	2018	7228684	107	161	42	29	Azolla filiculoides	correct_baseline	40.50866425978139	52.79527025031728	31.08141832272994	1	0	3	3	1.0090126859874609
2650107	2019	7228684	69	11	32	6	Azolla filiculoides	correct_baseline	42.352703351125534	53.78261639072621	33.35188210474897	0	0	0	1	0.9894939283188741
2650107	2020	7228684	85	0	45	0	Azolla filiculoides	correct_baseline	43.92443693476723	53.867041616468136	35.81700613472161	0	0	0	1	0.9669031015695028
2650107	2021	7228684	85	0	42	0	Azolla filiculoides	correct_baseline	45.413407451157845	55.10704897992485	37.424932281824574	0	0	0	1	0.9421500217002444
2650107	2022	7228684	107	0	60	0	Azolla filiculoides	correct_baseline	46.946588973263324	61.36086636129	35.918368610501396	0	0	0	1	0.9164233192985023
2650107	2023	7228684	87	0	38	0	Azolla filiculoides	correct_baseline	48.58439451412455	74.85746156790468	31.532506457794987	0	0	0	1	0.8903468807844701
2765942	2001	196	1	12	1	1	Pontederia crassipes	correct_baseline								
2765942	2002	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2003	196	1	1	1	1	Pontederia crassipes	correct_baseline								
2765942	2004	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2005	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2006	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2007	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2008	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2009	196	3	38	3	2	Pontederia crassipes	correct_baseline								
2765942	2010	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2011	196	2	5	1	1	Pontederia crassipes	correct_baseline								
2765942	2012	196	1	0	1	0	Pontederia crassipes	correct_baseline								
2765942	2013	196	3	44	2	2	Pontederia crassipes	correct_baseline								
2765942	2014	196	1	12	1	1	Pontederia crassipes	correct_baseline								
2765942	2015	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2016	196	3	56	3	3	Pontederia crassipes	correct_baseline								
2765942	2017	196	15	127	9	9	Pontederia crassipes	correct_baseline								
2765942	2018	196	1	233	1	1	Pontederia crassipes	correct_baseline								
2765942	2019	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2020	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2021	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2022	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2023	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2865448	2001	196	5	72	5	5	Elodea canadensis	correct_baseline								
2865448	2002	196	7	93	6	5	Elodea canadensis	correct_baseline								
2865448	2003	196	3	0	3	0	Elodea canadensis	correct_baseline								
2865448	2004	196	5	23	5	4	Elodea canadensis	correct_baseline								
2865448	2005	196	1	0	1	0	Elodea canadensis	correct_baseline								
2865448	2006	196	0	0	0	0	Elodea canadensis	correct_baseline								
2865448	2007	196	9	79	9	5	Elodea canadensis	correct_baseline								
2865448	2008	196	9	53	9	5	Elodea canadensis	correct_baseline								
2865448	2009	196	5	0	5	0	Elodea canadensis	correct_baseline								
2865448	2010	196	3	20	3	2	Elodea canadensis	correct_baseline								
2865448	2011	196	3	28	3	2	Elodea canadensis	correct_baseline								
2865448	2012	196	4	56	4	3	Elodea canadensis	correct_baseline								
2865448	2013	196	8	50	8	6	Elodea canadensis	correct_baseline								
2865448	2014	196	5	33	4	4	Elodea canadensis	correct_baseline								
2865448	2015	196	1	27	1	1	Elodea canadensis	correct_baseline								
2865448	2016	196	21	217	17	15	Elodea canadensis	correct_baseline								
2865448	2017	196	7	207	6	6	Elodea canadensis	correct_baseline								
2865448	2018	196	7	262	5	4	Elodea canadensis	correct_baseline								
2865448	2019	196	1	0	1	0	Elodea canadensis	correct_baseline								
2865448	2020	196	12	0	11	0	Elodea canadensis	correct_baseline								
2865448	2021	196	5	0	4	0	Elodea canadensis	correct_baseline								
2865448	2022	196	3	0	3	0	Elodea canadensis	correct_baseline								
2865448	2023	196	1	0	1	0	Elodea canadensis	correct_baseline								
2867614	2001	196	18	183	15	8	Lemna minuta	correct_baseline	22.225133244609694	36.7016429598526	13.458703968129898	0	0	0	1	0.9814736393537408
2867614	2002	196	24	174	23	17	Lemna minuta	correct_baseline	23.447874456760715	35.31164817393555	15.57001287030933	0	0	0	1	0.9894888326597855
