species;scientificName;speciesKey;dec_rules_FL;dec_rules_CORE;GAM_FL;GAM_CORE;consensus_FL;consensus_CORE;FL;CORE
Acer negundo;Acer negundo L.;3189866;3;1;3;0;3;0;opkomend;niet opkomend
Ailanthus altissima;Ailanthus altissima (Mill.) Swingle;3190653;2;1;3;0;3;0;opkomend;niet opkomend
Alternanthera philoxeroides;Alternanthera philoxeroides (Mart.) Griseb.;3084923;NA;NA;NA;NA;NA;NA;NA;NA
Aponogeton distachyos;Aponogeton distachyos L.f.;5328593;NA;NA;NA;NA;NA;NA;NA;NA
Arundo donax;Arundo donax L.;2703041;NA;NA;NA;NA;NA;NA;NA;NA
Asclepias syriaca;Asclepias syriaca L.;3170247;NA;NA;NA;NA;NA;NA;NA;NA
Azolla filiculoides;Azolla filiculoides Lam.;2650107;2;1;1;0;1;0;onduidelijk;niet opkomend
Baccharis halimifolia;Baccharis halimifolia L.;3129663;3;1;3;NA;3;1;opkomend;onduidelijk
Cabomba caroliniana;Cabomba caroliniana A.Gray;2882443;2;1;2;NA;2;1;potentieel opkomend;onduidelijk
NA;Carpobrotus N.E.Br.;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cotoneaster horizontalis;Cotoneaster horizontalis Decne.;3025617;3;1;0;1;0;1;niet opkomend;onduidelijk
Elodea densa;Egeria densa Planch.;5329263;1;1;1;NA;1;1;onduidelijk;onduidelijk
Pontederia crassipes;Eichhornia crassipes (Mart.) Solms;2765942;1;1;1;NA;1;1;onduidelijk;onduidelijk
Elaeagnus angustifolia;Elaeagnus angustifolia L.;3039269;3;1;3;NA;3;1;opkomend;onduidelijk
Elodea canadensis;Elodea canadensis Michx.;2865448;2;1;2;NA;2;1;potentieel opkomend;onduidelijk
Elodea nuttallii;Elodea nuttallii (Planch.) H.St.John;5329212;2;1;1;1;1;1;onduidelijk;onduidelijk
Fallopia baldschuanica;Fallopia baldschuanica (Regel) Holub;5334351;3;1;3;1;3;1;opkomend;onduidelijk
Fraxinus pennsylvanica;Fraxinus pennsylvanica Marshall;3172348;NA;NA;NA;NA;NA;NA;NA;NA
Gymnocoronis spilanthoides;Gymnocoronis spilanthoides DC.;6063677;NA;NA;NA;NA;NA;NA;NA;NA
Helianthus tuberosus;Helianthus tuberosus L.;3119175;3;1;1;1;1;1;onduidelijk;onduidelijk
