District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
DS_District 4;Acer negundo;3189866;555;10;0,018018018018018;1,8;0,0383141762452107;3,83
DS_District 4;Ailanthus altissima;3190653;633;6;0,00947867298578199;0,9;0,0229885057471264;2,3
DS_District 4;Aponogeton distachyos;5328593;27;0;0;0;0;0
DS_District 4;Arundo donax;2703041;5;0;0;0;0;0
DS_District 4;Asclepias syriaca;3170247;30;1;0,0333333333333333;3,3;0,00383141762452107;0,38
DS_District 4;Azolla filiculoides;2650107;264;21;0,0795454545454545;8;0,0804597701149425;8,05
DS_District 4;Baccharis halimifolia;3129663;130;0;0;0;0;0
DS_District 4;Cabomba caroliniana;2882443;11;0;0;0;0;0
DS_District 4;Cotoneaster horizontalis;3025617;437;0;0;0;0;0
DS_District 4;Elodea densa;5329263;16;1;0,0625;6,2;0,00383141762452107;0,38
DS_District 4;Pontederia crassipes;2765942;18;4;0,222222222222222;22,2;0,0153256704980843;1,53
DS_District 4;Elaeagnus angustifolia;3039269;179;1;0,00558659217877095;0,6;0,00383141762452107;0,38
DS_District 4;Elodea canadensis;2865448;64;5;0,078125;7,8;0,0191570881226054;1,92
DS_District 4;Elodea nuttallii;5329212;591;24;0,0406091370558376;4,1;0,0919540229885057;9,2
DS_District 4;Fallopia baldschuanica;5334351;356;4;0,0112359550561798;1,1;0,0153256704980843;1,53
DS_District 4;Fraxinus pennsylvanica;3172348;46;0;0;0;0;0
DS_District 4;Helianthus tuberosus;3119175;300;2;0,00666666666666667;0,7;0,00766283524904215;0,77
DS_District 4;Helianthus laetiflorus;3119181;44;1;0,0227272727272727;2,3;0,00383141762452107;0,38
DS_District 4;Heracleum mantegazzianum;3034825;2812;31;0,0110241820768137;1,1;0,118773946360153;11,88
DS_District 4;Hydrocotyle ranunculoides;7978544;537;5;0,00931098696461825;0,9;0,0191570881226054;1,92
DS_District 4;Impatiens capensis;2891774;56;0;0;0;0;0
DS_District 4;Impatiens glandulifera;2891770;3707;59;0,0159158349069328;1,6;0,226053639846743;22,61
DS_District 4;Koenigia polystachya;8848208;42;1;0,0238095238095238;2,4;0,00383141762452107;0,38
DS_District 4;Laburnum anagyroides;5356345;198;2;0,0101010101010101;1;0,00766283524904215;0,77
DS_District 4;Lagarosiphon major;2865565;34;0;0;0;0;0
DS_District 4;Lemna minuta;2867614;883;33;0,0373725934314836;3,7;0,126436781609195;12,64
DS_District 4;Lemna turionifera;2867631;103;0;0;0;0;0
DS_District 4;Hydrocharis laevigata;11055820;2;0;0;0;0;0
DS_District 4;Ludwigia grandiflora;5421039;476;26;0,0546218487394958;5,5;0,0996168582375479;9,96
DS_District 4;Ludwigia peploides;5420991;18;0;0;0;0;0
DS_District 4;Mahonia aquifolium;3033865;1917;27;0,0140845070422535;1,4;0,103448275862069;10,34
DS_District 4;Myriophyllum aquaticum;5361785;479;16;0,0334029227557411;3,3;0,0613026819923372;6,13
DS_District 4;Myriophyllum heterophyllum;5361762;67;4;0,0597014925373134;6;0,0153256704980843;1,53
DS_District 4;Myriophyllum rubricaule;11742641;16;0;0;0;0;0
DS_District 4;Parthenocissus inserta;3039203;423;9;0,0212765957446809;2,1;0,0344827586206897;3,45
DS_District 4;Parthenocissus quinquefolia;3039194;156;6;0,0384615384615385;3,8;0,0229885057471264;2,3
DS_District 4;Parthenocissus tricuspidata;3039209;304;7;0,0230263157894737;2,3;0,0268199233716475;2,68
DS_District 4;Pistia stratiotes;2870583;43;9;0,209302325581395;20,9;0,0344827586206897;3,45
DS_District 4;Prunus laurocerasus;3021496;2255;24;0,0106430155210643;1,1;0,0919540229885057;9,2
DS_District 4;Prunus serotina;3021850;6032;186;0,0308355437665782;3,1;0,71264367816092;71,26
DS_District 4;Reynoutria japonica;2889173;5136;132;0,0257009345794393;2,6;0,505747126436782;50,57
DS_District 4;Reynoutria sachalinensis;2889088;129;4;0,0310077519379845;3,1;0,0153256704980843;1,53
DS_District 4;Reynoutria bohemica;4038485;140;2;0,0142857142857143;1,4;0,00766283524904215;0,77
DS_District 4;Rhus typhina;3190538;742;26;0,0350404312668464;3,5;0,0996168582375479;9,96
DS_District 4;Robinia pseudoacacia;5352251;4017;114;0,0283793876026886;2,8;0,436781609195402;43,68
DS_District 4;Rosa rugosa;3003979;1761;39;0,0221465076660988;2,2;0,149425287356322;14,94
DS_District 4;Rubus armeniacus;2996525;227;4;0,0176211453744493;1,8;0,0153256704980843;1,53
DS_District 4;Rudbeckia laciniata;3114229;72;0;0;0;0;0
DS_District 4;Solidago canadensis;5389029;948;20;0,0210970464135021;2,1;0,0766283524904215;7,66
DS_District 4;Solidago gigantea;5389017;3240;50;0,0154320987654321;1,5;0,191570881226054;19,16
DS_District 4;Spiraea alba;3026585;21;0;0;0;0;0
DS_District 4;Spiraea douglasii;3027159;265;9;0,0339622641509434;3,4;0,0344827586206897;3,45
DS_District 4;Spiraea salicifolia;3026454;9;0;0;0;0;0
DS_District 4;Spiraea tomentosa;3026819;21;0;0;0;0;0
DS_District 4;Spiraea billardii;7889822;23;0;0;0;0;0
