District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aBS - District 1 (Gent);Acer negundo;3189866;555;40;0,0720720720720721;7,2;0,272108843537415;27,21
aBS - District 1 (Gent);Ailanthus altissima;3190653;633;61;0,0963665086887836;9,6;0,414965986394558;41,5
aBS - District 1 (Gent);Aponogeton distachyos;5328593;27;0;0;0;0;0
aBS - District 1 (Gent);Arundo donax;2703041;5;0;0;0;0;0
aBS - District 1 (Gent);Asclepias syriaca;3170247;30;0;0;0;0;0
aBS - District 1 (Gent);Azolla filiculoides;2650107;264;13;0,0492424242424242;4,9;0,0884353741496599;8,84
aBS - District 1 (Gent);Baccharis halimifolia;3129663;130;0;0;0;0;0
aBS - District 1 (Gent);Cabomba caroliniana;2882443;11;0;0;0;0;0
aBS - District 1 (Gent);Cotoneaster horizontalis;3025617;437;25;0,05720823798627;5,7;0,170068027210884;17,01
aBS - District 1 (Gent);Elodea densa;5329263;16;0;0;0;0;0
aBS - District 1 (Gent);Pontederia crassipes;2765942;18;0;0;0;0;0
aBS - District 1 (Gent);Elaeagnus angustifolia;3039269;179;5;0,0279329608938547;2,8;0,0340136054421769;3,4
aBS - District 1 (Gent);Elodea canadensis;2865448;64;1;0,015625;1,6;0,00680272108843537;0,68
aBS - District 1 (Gent);Elodea nuttallii;5329212;591;10;0,0169204737732657;1,7;0,0680272108843537;6,8
aBS - District 1 (Gent);Fallopia baldschuanica;5334351;356;17;0,047752808988764;4,8;0,115646258503401;11,56
aBS - District 1 (Gent);Fraxinus pennsylvanica;3172348;46;11;0,239130434782609;23,9;0,0748299319727891;7,48
aBS - District 1 (Gent);Helianthus tuberosus;3119175;300;13;0,0433333333333333;4,3;0,0884353741496599;8,84
aBS - District 1 (Gent);Helianthus laetiflorus;3119181;44;5;0,113636363636364;11,4;0,0340136054421769;3,4
aBS - District 1 (Gent);Heracleum mantegazzianum;3034825;2812;90;0,0320056899004267;3,2;0,612244897959184;61,22
aBS - District 1 (Gent);Hydrocotyle ranunculoides;7978544;537;27;0,0502793296089385;5;0,183673469387755;18,37
aBS - District 1 (Gent);Impatiens capensis;2891774;56;3;0,0535714285714286;5,4;0,0204081632653061;2,04
aBS - District 1 (Gent);Impatiens glandulifera;2891770;3707;63;0,0169948745616401;1,7;0,428571428571429;42,86
aBS - District 1 (Gent);Koenigia polystachya;8848208;42;3;0,0714285714285714;7,1;0,0204081632653061;2,04
aBS - District 1 (Gent);Laburnum anagyroides;5356345;198;21;0,106060606060606;10,6;0,142857142857143;14,29
aBS - District 1 (Gent);Lagarosiphon major;2865565;34;12;0,352941176470588;35,3;0,0816326530612245;8,16
aBS - District 1 (Gent);Lemna minuta;2867614;883;47;0,0532276330690827;5,3;0,319727891156463;31,97
aBS - District 1 (Gent);Lemna turionifera;2867631;103;8;0,0776699029126214;7,8;0,054421768707483;5,44
aBS - District 1 (Gent);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aBS - District 1 (Gent);Ludwigia grandiflora;5421039;476;6;0,0126050420168067;1,3;0,0408163265306122;4,08
aBS - District 1 (Gent);Ludwigia peploides;5420991;18;4;0,222222222222222;22,2;0,0272108843537415;2,72
aBS - District 1 (Gent);Mahonia aquifolium;3033865;1917;70;0,0365153886280647;3,7;0,476190476190476;47,62
aBS - District 1 (Gent);Myriophyllum aquaticum;5361785;479;6;0,0125260960334029;1,3;0,0408163265306122;4,08
aBS - District 1 (Gent);Myriophyllum heterophyllum;5361762;67;1;0,0149253731343284;1,5;0,00680272108843537;0,68
aBS - District 1 (Gent);Myriophyllum rubricaule;11742641;16;1;0,0625;6,2;0,00680272108843537;0,68
aBS - District 1 (Gent);Parthenocissus inserta;3039203;423;29;0,0685579196217494;6,9;0,197278911564626;19,73
aBS - District 1 (Gent);Parthenocissus quinquefolia;3039194;156;12;0,0769230769230769;7,7;0,0816326530612245;8,16
aBS - District 1 (Gent);Parthenocissus tricuspidata;3039209;304;21;0,0690789473684211;6,9;0,142857142857143;14,29
aBS - District 1 (Gent);Pistia stratiotes;2870583;43;0;0;0;0;0
aBS - District 1 (Gent);Prunus laurocerasus;3021496;2255;56;0,0248337028824834;2,5;0,380952380952381;38,1
aBS - District 1 (Gent);Prunus serotina;3021850;6032;95;0,0157493368700265;1,6;0,646258503401361;64,63
aBS - District 1 (Gent);Reynoutria japonica;2889173;5136;114;0,022196261682243;2,2;0,775510204081633;77,55
aBS - District 1 (Gent);Reynoutria sachalinensis;2889088;129;10;0,0775193798449612;7,8;0,0680272108843537;6,8
aBS - District 1 (Gent);Reynoutria bohemica;4038485;140;14;0,1;10;0,0952380952380952;9,52
aBS - District 1 (Gent);Rhus typhina;3190538;742;34;0,045822102425876;4,6;0,231292517006803;23,13
aBS - District 1 (Gent);Robinia pseudoacacia;5352251;4017;91;0,0226537216828479;2,3;0,619047619047619;61,9
aBS - District 1 (Gent);Rosa rugosa;3003979;1761;66;0,0374787052810903;3,7;0,448979591836735;44,9
aBS - District 1 (Gent);Rubus armeniacus;2996525;227;29;0,127753303964758;12,8;0,197278911564626;19,73
aBS - District 1 (Gent);Rudbeckia laciniata;3114229;72;0;0;0;0;0
aBS - District 1 (Gent);Solidago canadensis;5389029;948;39;0,0411392405063291;4,1;0,26530612244898;26,53
aBS - District 1 (Gent);Solidago gigantea;5389017;3240;94;0,0290123456790123;2,9;0,639455782312925;63,95
aBS - District 1 (Gent);Spiraea alba;3026585;21;1;0,0476190476190476;4,8;0,00680272108843537;0,68
aBS - District 1 (Gent);Spiraea douglasii;3027159;265;7;0,0264150943396226;2,6;0,0476190476190476;4,76
aBS - District 1 (Gent);Spiraea salicifolia;3026454;9;0;0;0;0;0
aBS - District 1 (Gent);Spiraea tomentosa;3026819;21;0;0;0;0;0
aBS - District 1 (Gent);Spiraea billardii;7889822;23;3;0,130434782608696;13;0,0204081632653061;2,04
