District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aBS - District 2 (Boven-Schelde);Acer negundo;3189866;555;12;0,0216216216216216;2,2;0,0555555555555556;5,56
aBS - District 2 (Boven-Schelde);Ailanthus altissima;3190653;633;18;0,028436018957346;2,8;0,0833333333333333;8,33
aBS - District 2 (Boven-Schelde);Aponogeton distachyos;5328593;27;0;0;0;0;0
aBS - District 2 (Boven-Schelde);Arundo donax;2703041;5;0;0;0;0;0
aBS - District 2 (Boven-Schelde);Asclepias syriaca;3170247;30;0;0;0;0;0
aBS - District 2 (Boven-Schelde);Azolla filiculoides;2650107;264;3;0,0113636363636364;1,1;0,0138888888888889;1,39
aBS - District 2 (Boven-Schelde);Baccharis halimifolia;3129663;130;0;0;0;0;0
aBS - District 2 (Boven-Schelde);Cabomba caroliniana;2882443;11;0;0;0;0;0
aBS - District 2 (Boven-Schelde);Cotoneaster horizontalis;3025617;437;24;0,0549199084668192;5,5;0,111111111111111;11,11
aBS - District 2 (Boven-Schelde);Elodea densa;5329263;16;1;0,0625;6,2;0,00462962962962963;0,46
aBS - District 2 (Boven-Schelde);Pontederia crassipes;2765942;18;1;0,0555555555555556;5,6;0,00462962962962963;0,46
aBS - District 2 (Boven-Schelde);Elaeagnus angustifolia;3039269;179;1;0,00558659217877095;0,6;0,00462962962962963;0,46
aBS - District 2 (Boven-Schelde);Elodea canadensis;2865448;64;0;0;0;0;0
aBS - District 2 (Boven-Schelde);Elodea nuttallii;5329212;591;6;0,0101522842639594;1;0,0277777777777778;2,78
aBS - District 2 (Boven-Schelde);Fallopia baldschuanica;5334351;356;15;0,0421348314606742;4,2;0,0694444444444444;6,94
aBS - District 2 (Boven-Schelde);Fraxinus pennsylvanica;3172348;46;3;0,0652173913043478;6,5;0,0138888888888889;1,39
aBS - District 2 (Boven-Schelde);Helianthus tuberosus;3119175;300;6;0,02;2;0,0277777777777778;2,78
aBS - District 2 (Boven-Schelde);Helianthus laetiflorus;3119181;44;3;0,0681818181818182;6,8;0,0138888888888889;1,39
aBS - District 2 (Boven-Schelde);Heracleum mantegazzianum;3034825;2812;106;0,0376955903271693;3,8;0,490740740740741;49,07
aBS - District 2 (Boven-Schelde);Hydrocotyle ranunculoides;7978544;537;9;0,0167597765363128;1,7;0,0416666666666667;4,17
aBS - District 2 (Boven-Schelde);Impatiens capensis;2891774;56;0;0;0;0;0
aBS - District 2 (Boven-Schelde);Impatiens glandulifera;2891770;3707;96;0,0258969517129755;2,6;0,444444444444444;44,44
