District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aBS - District 3 (Leie);Acer negundo;3189866;555;10;0,018018018018018;1,8;0,0510204081632653;5,1
aBS - District 3 (Leie);Ailanthus altissima;3190653;633;12;0,018957345971564;1,9;0,0612244897959184;6,12
aBS - District 3 (Leie);Aponogeton distachyos;5328593;27;0;0;0;0;0
aBS - District 3 (Leie);Arundo donax;2703041;5;0;0;0;0;0
aBS - District 3 (Leie);Asclepias syriaca;3170247;30;0;0;0;0;0
aBS - District 3 (Leie);Azolla filiculoides;2650107;264;6;0,0227272727272727;2,3;0,0306122448979592;3,06
aBS - District 3 (Leie);Baccharis halimifolia;3129663;130;1;0,00769230769230769;0,8;0,00510204081632653;0,51
aBS - District 3 (Leie);Cabomba caroliniana;2882443;11;0;0;0;0;0
aBS - District 3 (Leie);Cotoneaster horizontalis;3025617;437;11;0,0251716247139588;2,5;0,0561224489795918;5,61
aBS - District 3 (Leie);Elodea densa;5329263;16;0;0;0;0;0
aBS - District 3 (Leie);Pontederia crassipes;2765942;18;0;0;0;0;0
aBS - District 3 (Leie);Elaeagnus angustifolia;3039269;179;2;0,0111731843575419;1,1;0,0102040816326531;1,02
aBS - District 3 (Leie);Elodea canadensis;2865448;64;1;0,015625;1,6;0,00510204081632653;0,51
aBS - District 3 (Leie);Elodea nuttallii;5329212;591;2;0,00338409475465313;0,3;0,0102040816326531;1,02
aBS - District 3 (Leie);Fallopia baldschuanica;5334351;356;7;0,0196629213483146;2;0,0357142857142857;3,57
aBS - District 3 (Leie);Fraxinus pennsylvanica;3172348;46;3;0,0652173913043478;6,5;0,0153061224489796;1,53
aBS - District 3 (Leie);Helianthus tuberosus;3119175;300;6;0,02;2;0,0306122448979592;3,06
aBS - District 3 (Leie);Helianthus laetiflorus;3119181;44;3;0,0681818181818182;6,8;0,0153061224489796;1,53
aBS - District 3 (Leie);Heracleum mantegazzianum;3034825;2812;100;0,0355618776671408;3,6;0,510204081632653;51,02
aBS - District 3 (Leie);Hydrocotyle ranunculoides;7978544;537;47;0,0875232774674116;8,8;0,239795918367347;23,98
aBS - District 3 (Leie);Impatiens capensis;2891774;56;7;0,125;12,5;0,0357142857142857;3,57
aBS - District 3 (Leie);Impatiens glandulifera;2891770;3707;48;0,0129484758564877;1,3;0,244897959183673;24,49
aBS - District 3 (Leie);Koenigia polystachya;8848208;42;0;0;0;0;0
aBS - District 3 (Leie);Laburnum anagyroides;5356345;198;1;0,00505050505050505;0,5;0,00510204081632653;0,51
aBS - District 3 (Leie);Lagarosiphon major;2865565;34;0;0;0;0;0
aBS - District 3 (Leie);Lemna minuta;2867614;883;13;0,014722536806342;1,5;0,0663265306122449;6,63
aBS - District 3 (Leie);Lemna turionifera;2867631;103;0;0;0;0;0
aBS - District 3 (Leie);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aBS - District 3 (Leie);Ludwigia grandiflora;5421039;476;14;0,0294117647058824;2,9;0,0714285714285714;7,14
aBS - District 3 (Leie);Ludwigia peploides;5420991;18;1;0,0555555555555556;5,6;0,00510204081632653;0,51
aBS - District 3 (Leie);Mahonia aquifolium;3033865;1917;49;0,0255607720396453;2,6;0,25;25
aBS - District 3 (Leie);Myriophyllum aquaticum;5361785;479;3;0,00626304801670146;0,6;0,0153061224489796;1,53
aBS - District 3 (Leie);Myriophyllum heterophyllum;5361762;67;0;0;0;0;0
aBS - District 3 (Leie);Myriophyllum rubricaule;11742641;16;1;0,0625;6,2;0,00510204081632653;0,51
aBS - District 3 (Leie);Parthenocissus inserta;3039203;423;5;0,0118203309692671;1,2;0,0255102040816327;2,55
aBS - District 3 (Leie);Parthenocissus quinquefolia;3039194;156;2;0,0128205128205128;1,3;0,0102040816326531;1,02
aBS - District 3 (Leie);Parthenocissus tricuspidata;3039209;304;11;0,0361842105263158;3,6;0,0561224489795918;5,61
aBS - District 3 (Leie);Pistia stratiotes;2870583;43;0;0;0;0;0
aBS - District 3 (Leie);Prunus laurocerasus;3021496;2255;44;0,0195121951219512;2;0,224489795918367;22,45
aBS - District 3 (Leie);Prunus serotina;3021850;6032;52;0,00862068965517241;0,9;0,26530612244898;26,53
aBS - District 3 (Leie);Reynoutria japonica;2889173;5136;98;0,0190809968847352;1,9;0,5;50
aBS - District 3 (Leie);Reynoutria sachalinensis;2889088;129;0;0;0;0;0
aBS - District 3 (Leie);Reynoutria bohemica;4038485;140;2;0,0142857142857143;1,4;0,0102040816326531;1,02
aBS - District 3 (Leie);Rhus typhina;3190538;742;11;0,0148247978436658;1,5;0,0561224489795918;5,61
aBS - District 3 (Leie);Robinia pseudoacacia;5352251;4017;44;0,0109534478466517;1,1;0,224489795918367;22,45
aBS - District 3 (Leie);Rosa rugosa;3003979;1761;30;0,0170357751277683;1,7;0,153061224489796;15,31
aBS - District 3 (Leie);Rubus armeniacus;2996525;227;6;0,026431718061674;2,6;0,0306122448979592;3,06
aBS - District 3 (Leie);Rudbeckia laciniata;3114229;72;0;0;0;0;0
aBS - District 3 (Leie);Solidago canadensis;5389029;948;7;0,00738396624472574;0,7;0,0357142857142857;3,57
aBS - District 3 (Leie);Solidago gigantea;5389017;3240;49;0,0151234567901235;1,5;0,25;25
aBS - District 3 (Leie);Spiraea alba;3026585;21;0;0;0;0;0
aBS - District 3 (Leie);Spiraea douglasii;3027159;265;1;0,00377358490566038;0,4;0,00510204081632653;0,51
aBS - District 3 (Leie);Spiraea salicifolia;3026454;9;0;0;0;0;0
aBS - District 3 (Leie);Spiraea tomentosa;3026819;21;0;0;0;0;0
aBS - District 3 (Leie);Spiraea billardii;7889822;23;0;0;0;0;0
