District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aBS - District 4 (Dender, Moervaart);Acer negundo;3189866;555;11;0,0198198198198198;2;0,044;4,4
aBS - District 4 (Dender, Moervaart);Ailanthus altissima;3190653;633;29;0,0458135860979463;4,6;0,116;11,6
aBS - District 4 (Dender, Moervaart);Aponogeton distachyos;5328593;27;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Arundo donax;2703041;5;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Asclepias syriaca;3170247;30;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Azolla filiculoides;2650107;264;4;0,0151515151515152;1,5;0,016;1,6
aBS - District 4 (Dender, Moervaart);Baccharis halimifolia;3129663;130;3;0,0230769230769231;2,3;0,012;1,2
aBS - District 4 (Dender, Moervaart);Cabomba caroliniana;2882443;11;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Cotoneaster horizontalis;3025617;437;17;0,0389016018306636;3,9;0,068;6,8
aBS - District 4 (Dender, Moervaart);Elodea densa;5329263;16;2;0,125;12,5;0,008;0,8
aBS - District 4 (Dender, Moervaart);Pontederia crassipes;2765942;18;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Elaeagnus angustifolia;3039269;179;5;0,0279329608938547;2,8;0,02;2
aBS - District 4 (Dender, Moervaart);Elodea canadensis;2865448;64;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Elodea nuttallii;5329212;591;7;0,011844331641286;1,2;0,028;2,8
aBS - District 4 (Dender, Moervaart);Fallopia baldschuanica;5334351;356;9;0,0252808988764045;2,5;0,036;3,6
aBS - District 4 (Dender, Moervaart);Fraxinus pennsylvanica;3172348;46;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Helianthus tuberosus;3119175;300;8;0,0266666666666667;2,7;0,032;3,2
aBS - District 4 (Dender, Moervaart);Helianthus laetiflorus;3119181;44;1;0,0227272727272727;2,3;0,004;0,4
aBS - District 4 (Dender, Moervaart);Heracleum mantegazzianum;3034825;2812;78;0,0277382645803698;2,8;0,312;31,2
aBS - District 4 (Dender, Moervaart);Hydrocotyle ranunculoides;7978544;537;30;0,0558659217877095;5,6;0,12;12
aBS - District 4 (Dender, Moervaart);Impatiens capensis;2891774;56;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Impatiens glandulifera;2891770;3707;149;0,0401942271378473;4;0,596;59,6
aBS - District 4 (Dender, Moervaart);Koenigia polystachya;8848208;42;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Laburnum anagyroides;5356345;198;8;0,0404040404040404;4;0,032;3,2
aBS - District 4 (Dender, Moervaart);Lagarosiphon major;2865565;34;3;0,0882352941176471;8,8;0,012;1,2
aBS - District 4 (Dender, Moervaart);Lemna minuta;2867614;883;30;0,0339750849377123;3,4;0,12;12
aBS - District 4 (Dender, Moervaart);Lemna turionifera;2867631;103;2;0,0194174757281553;1,9;0,008;0,8
aBS - District 4 (Dender, Moervaart);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Ludwigia grandiflora;5421039;476;6;0,0126050420168067;1,3;0,024;2,4
aBS - District 4 (Dender, Moervaart);Ludwigia peploides;5420991;18;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Mahonia aquifolium;3033865;1917;53;0,0276473656755347;2,8;0,212;21,2
aBS - District 4 (Dender, Moervaart);Myriophyllum aquaticum;5361785;479;8;0,0167014613778706;1,7;0,032;3,2
aBS - District 4 (Dender, Moervaart);Myriophyllum heterophyllum;5361762;67;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Myriophyllum rubricaule;11742641;16;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Parthenocissus inserta;3039203;423;12;0,0283687943262411;2,8;0,048;4,8
aBS - District 4 (Dender, Moervaart);Parthenocissus quinquefolia;3039194;156;7;0,0448717948717949;4,5;0,028;2,8
aBS - District 4 (Dender, Moervaart);Parthenocissus tricuspidata;3039209;304;8;0,0263157894736842;2,6;0,032;3,2
aBS - District 4 (Dender, Moervaart);Pistia stratiotes;2870583;43;1;0,0232558139534884;2,3;0,004;0,4
aBS - District 4 (Dender, Moervaart);Prunus laurocerasus;3021496;2255;69;0,0305986696230599;3,1;0,276;27,6
aBS - District 4 (Dender, Moervaart);Prunus serotina;3021850;6032;93;0,0154177718832891;1,5;0,372;37,2
aBS - District 4 (Dender, Moervaart);Reynoutria japonica;2889173;5136;154;0,0299844236760125;3;0,616;61,6
aBS - District 4 (Dender, Moervaart);Reynoutria sachalinensis;2889088;129;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Reynoutria bohemica;4038485;140;2;0,0142857142857143;1,4;0,008;0,8
aBS - District 4 (Dender, Moervaart);Rhus typhina;3190538;742;21;0,0283018867924528;2,8;0,084;8,4
aBS - District 4 (Dender, Moervaart);Robinia pseudoacacia;5352251;4017;79;0,0196664177246702;2;0,316;31,6
aBS - District 4 (Dender, Moervaart);Rosa rugosa;3003979;1761;43;0,0244179443498013;2,4;0,172;17,2
aBS - District 4 (Dender, Moervaart);Rubus armeniacus;2996525;227;10;0,0440528634361234;4,4;0,04;4
aBS - District 4 (Dender, Moervaart);Rudbeckia laciniata;3114229;72;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Solidago canadensis;5389029;948;30;0,0316455696202532;3,2;0,12;12
aBS - District 4 (Dender, Moervaart);Solidago gigantea;5389017;3240;127;0,0391975308641975;3,9;0,508;50,8
aBS - District 4 (Dender, Moervaart);Spiraea alba;3026585;21;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Spiraea douglasii;3027159;265;5;0,0188679245283019;1,9;0,02;2
aBS - District 4 (Dender, Moervaart);Spiraea salicifolia;3026454;9;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Spiraea tomentosa;3026819;21;0;0;0;0;0
aBS - District 4 (Dender, Moervaart);Spiraea billardii;7889822;23;0;0;0;0;0
