District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aBS - District 5 (Kanalen-Oost);Acer negundo;3189866;555;14;0,0252252252252252;2,5;0,0375335120643432;3,75
aBS - District 5 (Kanalen-Oost);Ailanthus altissima;3190653;633;18;0,028436018957346;2,8;0,0482573726541555;4,83
aBS - District 5 (Kanalen-Oost);Aponogeton distachyos;5328593;27;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Arundo donax;2703041;5;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Asclepias syriaca;3170247;30;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Azolla filiculoides;2650107;264;17;0,0643939393939394;6,4;0,0455764075067024;4,56
aBS - District 5 (Kanalen-Oost);Baccharis halimifolia;3129663;130;1;0,00769230769230769;0,8;0,00268096514745308;0,27
aBS - District 5 (Kanalen-Oost);Cabomba caroliniana;2882443;11;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Cotoneaster horizontalis;3025617;437;13;0,0297482837528604;3;0,0348525469168901;3,49
aBS - District 5 (Kanalen-Oost);Elodea densa;5329263;16;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Pontederia crassipes;2765942;18;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Elaeagnus angustifolia;3039269;179;6;0,0335195530726257;3,4;0,0160857908847185;1,61
aBS - District 5 (Kanalen-Oost);Elodea canadensis;2865448;64;4;0,0625;6,2;0,0107238605898123;1,07
aBS - District 5 (Kanalen-Oost);Elodea nuttallii;5329212;591;23;0,038917089678511;3,9;0,0616621983914209;6,17
aBS - District 5 (Kanalen-Oost);Fallopia baldschuanica;5334351;356;5;0,0140449438202247;1,4;0,0134048257372654;1,34
aBS - District 5 (Kanalen-Oost);Fraxinus pennsylvanica;3172348;46;1;0,0217391304347826;2,2;0,00268096514745308;0,27
aBS - District 5 (Kanalen-Oost);Helianthus tuberosus;3119175;300;1;0,00333333333333333;0,3;0,00268096514745308;0,27
aBS - District 5 (Kanalen-Oost);Helianthus laetiflorus;3119181;44;1;0,0227272727272727;2,3;0,00268096514745308;0,27
aBS - District 5 (Kanalen-Oost);Heracleum mantegazzianum;3034825;2812;88;0,0312944523470839;3,1;0,235924932975871;23,59
aBS - District 5 (Kanalen-Oost);Hydrocotyle ranunculoides;7978544;537;36;0,0670391061452514;6,7;0,096514745308311;9,65
aBS - District 5 (Kanalen-Oost);Impatiens capensis;2891774;56;4;0,0714285714285714;7,1;0,0107238605898123;1,07
aBS - District 5 (Kanalen-Oost);Impatiens glandulifera;2891770;3707;84;0,0226598327488535;2,3;0,225201072386059;22,52
aBS - District 5 (Kanalen-Oost);Koenigia polystachya;8848208;42;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Laburnum anagyroides;5356345;198;4;0,0202020202020202;2;0,0107238605898123;1,07
aBS - District 5 (Kanalen-Oost);Lagarosiphon major;2865565;34;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Lemna minuta;2867614;883;30;0,0339750849377123;3,4;0,0804289544235925;8,04
aBS - District 5 (Kanalen-Oost);Lemna turionifera;2867631;103;5;0,0485436893203883;4,9;0,0134048257372654;1,34
aBS - District 5 (Kanalen-Oost);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Ludwigia grandiflora;5421039;476;9;0,0189075630252101;1,9;0,0241286863270777;2,41
aBS - District 5 (Kanalen-Oost);Ludwigia peploides;5420991;18;1;0,0555555555555556;5,6;0,00268096514745308;0,27
aBS - District 5 (Kanalen-Oost);Mahonia aquifolium;3033865;1917;32;0,0166927490871153;1,7;0,0857908847184987;8,58
aBS - District 5 (Kanalen-Oost);Myriophyllum aquaticum;5361785;479;7;0,0146137787056367;1,5;0,0187667560321716;1,88
aBS - District 5 (Kanalen-Oost);Myriophyllum heterophyllum;5361762;67;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Myriophyllum rubricaule;11742641;16;1;0,0625;6,2;0,00268096514745308;0,27
aBS - District 5 (Kanalen-Oost);Parthenocissus inserta;3039203;423;9;0,0212765957446809;2,1;0,0241286863270777;2,41
aBS - District 5 (Kanalen-Oost);Parthenocissus quinquefolia;3039194;156;1;0,00641025641025641;0,6;0,00268096514745308;0,27
aBS - District 5 (Kanalen-Oost);Parthenocissus tricuspidata;3039209;304;9;0,0296052631578947;3;0,0241286863270777;2,41
aBS - District 5 (Kanalen-Oost);Pistia stratiotes;2870583;43;0;0;0;0;0
aBS - District 5 (Kanalen-Oost);Prunus laurocerasus;3021496;2255;33;0,0146341463414634;1,5;0,0884718498659517;8,85
aBS - District 5 (Kanalen-Oost);Prunus serotina;3021850;6032;110;0,018236074270557;1,8;0,294906166219839;29,49
