District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aBS - District 6 (Kanalen-West);Acer negundo;3189866;555;8;0,0144144144144144;1,4;0,0536912751677852;5,37
aBS - District 6 (Kanalen-West);Ailanthus altissima;3190653;633;18;0,028436018957346;2,8;0,120805369127517;12,08
aBS - District 6 (Kanalen-West);Aponogeton distachyos;5328593;27;1;0,037037037037037;3,7;0,00671140939597315;0,67
aBS - District 6 (Kanalen-West);Arundo donax;2703041;5;0;0;0;0;0
aBS - District 6 (Kanalen-West);Asclepias syriaca;3170247;30;1;0,0333333333333333;3,3;0,00671140939597315;0,67
aBS - District 6 (Kanalen-West);Azolla filiculoides;2650107;264;14;0,053030303030303;5,3;0,0939597315436242;9,4
aBS - District 6 (Kanalen-West);Baccharis halimifolia;3129663;130;5;0,0384615384615385;3,8;0,0335570469798658;3,36
aBS - District 6 (Kanalen-West);Cabomba caroliniana;2882443;11;0;0;0;0;0
aBS - District 6 (Kanalen-West);Cotoneaster horizontalis;3025617;437;14;0,0320366132723112;3,2;0,0939597315436242;9,4
aBS - District 6 (Kanalen-West);Elodea densa;5329263;16;0;0;0;0;0
aBS - District 6 (Kanalen-West);Pontederia crassipes;2765942;18;0;0;0;0;0
aBS - District 6 (Kanalen-West);Elaeagnus angustifolia;3039269;179;1;0,00558659217877095;0,6;0,00671140939597315;0,67
aBS - District 6 (Kanalen-West);Elodea canadensis;2865448;64;1;0,015625;1,6;0,00671140939597315;0,67
aBS - District 6 (Kanalen-West);Elodea nuttallii;5329212;591;14;0,0236886632825719;2,4;0,0939597315436242;9,4
aBS - District 6 (Kanalen-West);Fallopia baldschuanica;5334351;356;8;0,0224719101123595;2,2;0,0536912751677852;5,37
aBS - District 6 (Kanalen-West);Fraxinus pennsylvanica;3172348;46;1;0,0217391304347826;2,2;0,00671140939597315;0,67
aBS - District 6 (Kanalen-West);Helianthus tuberosus;3119175;300;1;0,00333333333333333;0,3;0,00671140939597315;0,67
aBS - District 6 (Kanalen-West);Helianthus laetiflorus;3119181;44;1;0,0227272727272727;2,3;0,00671140939597315;0,67
