District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aBS - District 7 (IJzer);Acer negundo;3189866;555;20;0,036036036036036;3,6;0,0636942675159236;6,37
aBS - District 7 (IJzer);Ailanthus altissima;3190653;633;12;0,018957345971564;1,9;0,0382165605095541;3,82
aBS - District 7 (IJzer);Aponogeton distachyos;5328593;27;0;0;0;0;0
aBS - District 7 (IJzer);Arundo donax;2703041;5;0;0;0;0;0
aBS - District 7 (IJzer);Asclepias syriaca;3170247;30;0;0;0;0;0
aBS - District 7 (IJzer);Azolla filiculoides;2650107;264;13;0,0492424242424242;4,9;0,0414012738853503;4,14
aBS - District 7 (IJzer);Baccharis halimifolia;3129663;130;16;0,123076923076923;12,3;0,0509554140127389;5,1
aBS - District 7 (IJzer);Cabomba caroliniana;2882443;11;0;0;0;0;0
aBS - District 7 (IJzer);Cotoneaster horizontalis;3025617;437;31;0,0709382151029748;7,1;0,0987261146496815;9,87
aBS - District 7 (IJzer);Elodea densa;5329263;16;0;0;0;0;0
aBS - District 7 (IJzer);Pontederia crassipes;2765942;18;0;0;0;0;0
aBS - District 7 (IJzer);Elaeagnus angustifolia;3039269;179;1;0,00558659217877095;0,6;0,00318471337579618;0,32
aBS - District 7 (IJzer);Elodea canadensis;2865448;64;3;0,046875;4,7;0,00955414012738853;0,96
aBS - District 7 (IJzer);Elodea nuttallii;5329212;591;31;0,0524534686971235;5,2;0,0987261146496815;9,87
aBS - District 7 (IJzer);Fallopia baldschuanica;5334351;356;9;0,0252808988764045;2,5;0,0286624203821656;2,87
aBS - District 7 (IJzer);Fraxinus pennsylvanica;3172348;46;0;0;0;0;0
aBS - District 7 (IJzer);Helianthus tuberosus;3119175;300;1;0,00333333333333333;0,3;0,00318471337579618;0,32
aBS - District 7 (IJzer);Helianthus laetiflorus;3119181;44;0;0;0;0;0
aBS - District 7 (IJzer);Heracleum mantegazzianum;3034825;2812;35;0,0124466571834993;1,2;0,111464968152866;11,15
