District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Acer negundo;3189866;555;40;0,0720720720720721;7,2;0,165289256198347;16,53
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Ailanthus altissima;3190653;633;33;0,0521327014218009;5,2;0,136363636363636;13,64
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Aponogeton distachyos;5328593;27;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Arundo donax;2703041;5;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Asclepias syriaca;3170247;30;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Azolla filiculoides;2650107;264;14;0,053030303030303;5,3;0,0578512396694215;5,79
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Baccharis halimifolia;3129663;130;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Cabomba caroliniana;2882443;11;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Cotoneaster horizontalis;3025617;437;11;0,0251716247139588;2,5;0,0454545454545455;4,55
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Elodea densa;5329263;16;1;0,0625;6,2;0,00413223140495868;0,41
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Pontederia crassipes;2765942;18;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Elaeagnus angustifolia;3039269;179;3;0,0167597765363128;1,7;0,012396694214876;1,24
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Elodea canadensis;2865448;64;1;0,015625;1,6;0,00413223140495868;0,41
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Elodea nuttallii;5329212;591;12;0,0203045685279188;2;0,0495867768595041;4,96
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Fallopia baldschuanica;5334351;356;11;0,0308988764044944;3,1;0,0454545454545455;4,55
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Fraxinus pennsylvanica;3172348;46;5;0,108695652173913;10,9;0,0206611570247934;2,07
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Helianthus tuberosus;3119175;300;10;0,0333333333333333;3,3;0,0413223140495868;4,13
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Helianthus laetiflorus;3119181;44;2;0,0454545454545455;4,5;0,00826446280991736;0,83
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Heracleum mantegazzianum;3034825;2812;71;0,02524893314367;2,5;0,293388429752066;29,34
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Hydrocotyle ranunculoides;7978544;537;11;0,0204841713221601;2;0,0454545454545455;4,55
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Impatiens capensis;2891774;56;1;0,0178571428571429;1,8;0,00413223140495868;0,41
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Impatiens glandulifera;2891770;3707;185;0,0499055840302131;5;0,764462809917355;76,45
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Koenigia polystachya;8848208;42;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Laburnum anagyroides;5356345;198;9;0,0454545454545455;4,5;0,0371900826446281;3,72
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Lagarosiphon major;2865565;34;1;0,0294117647058824;2,9;0,00413223140495868;0,41
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Lemna minuta;2867614;883;42;0,0475651189127973;4,8;0,173553719008264;17,36
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Lemna turionifera;2867631;103;4;0,0388349514563107;3,9;0,0165289256198347;1,65
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Ludwigia grandiflora;5421039;476;29;0,0609243697478992;6,1;0,119834710743802;11,98
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Ludwigia peploides;5420991;18;1;0,0555555555555556;5,6;0,00413223140495868;0,41
