District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Acer negundo;3189866;555;26;0,0468468468468468;4,7;0,111111111111111;11,11
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Ailanthus altissima;3190653;633;42;0,0663507109004739;6,6;0,179487179487179;17,95
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Aponogeton distachyos;5328593;27;0;0;0;0;0
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Arundo donax;2703041;5;0;0;0;0;0
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Asclepias syriaca;3170247;30;0;0;0;0;0
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Azolla filiculoides;2650107;264;18;0,0681818181818182;6,8;0,0769230769230769;7,69
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Baccharis halimifolia;3129663;130;0;0;0;0;0
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Cabomba caroliniana;2882443;11;0;0;0;0;0
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Cotoneaster horizontalis;3025617;437;6;0,0137299771167048;1,4;0,0256410256410256;2,56
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Elodea densa;5329263;16;0;0;0;0;0
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Pontederia crassipes;2765942;18;2;0,111111111111111;11,1;0,00854700854700855;0,85
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Elaeagnus angustifolia;3039269;179;37;0,206703910614525;20,7;0,158119658119658;15,81
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Elodea canadensis;2865448;64;0;0;0;0;0
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Elodea nuttallii;5329212;591;6;0,0101522842639594;1;0,0256410256410256;2,56
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Fallopia baldschuanica;5334351;356;8;0,0224719101123595;2,2;0,0341880341880342;3,42
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Fraxinus pennsylvanica;3172348;46;4;0,0869565217391304;8,7;0,0170940170940171;1,71
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Helianthus tuberosus;3119175;300;6;0,02;2;0,0256410256410256;2,56
aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel);Helianthus laetiflorus;3119181;44;1;0,0227272727272727;2,3;0,00427350427350427;0,43
