District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 3 (Netes);Acer negundo;3189866;555;9;0,0162162162162162;1,6;0,0416666666666667;4,17
aZS - District 3 (Netes);Ailanthus altissima;3190653;633;10;0,0157977883096366;1,6;0,0462962962962963;4,63
aZS - District 3 (Netes);Aponogeton distachyos;5328593;27;0;0;0;0;0
aZS - District 3 (Netes);Arundo donax;2703041;5;0;0;0;0;0
aZS - District 3 (Netes);Asclepias syriaca;3170247;30;1;0,0333333333333333;3,3;0,00462962962962963;0,46
aZS - District 3 (Netes);Azolla filiculoides;2650107;264;1;0,00378787878787879;0,4;0,00462962962962963;0,46
aZS - District 3 (Netes);Baccharis halimifolia;3129663;130;0;0;0;0;0
aZS - District 3 (Netes);Cabomba caroliniana;2882443;11;0;0;0;0;0
aZS - District 3 (Netes);Cotoneaster horizontalis;3025617;437;1;0,0022883295194508;0,2;0,00462962962962963;0,46
aZS - District 3 (Netes);Elodea densa;5329263;16;0;0;0;0;0
aZS - District 3 (Netes);Pontederia crassipes;2765942;18;0;0;0;0;0
aZS - District 3 (Netes);Elaeagnus angustifolia;3039269;179;1;0,00558659217877095;0,6;0,00462962962962963;0,46
aZS - District 3 (Netes);Elodea canadensis;2865448;64;3;0,046875;4,7;0,0138888888888889;1,39
aZS - District 3 (Netes);Elodea nuttallii;5329212;591;12;0,0203045685279188;2;0,0555555555555556;5,56
aZS - District 3 (Netes);Fallopia baldschuanica;5334351;356;5;0,0140449438202247;1,4;0,0231481481481481;2,31
aZS - District 3 (Netes);Fraxinus pennsylvanica;3172348;46;1;0,0217391304347826;2,2;0,00462962962962963;0,46
aZS - District 3 (Netes);Helianthus tuberosus;3119175;300;5;0,0166666666666667;1,7;0,0231481481481481;2,31
aZS - District 3 (Netes);Helianthus laetiflorus;3119181;44;0;0;0;0;0
aZS - District 3 (Netes);Heracleum mantegazzianum;3034825;2812;58;0,0206258890469417;2,1;0,268518518518519;26,85
aZS - District 3 (Netes);Hydrocotyle ranunculoides;7978544;537;14;0,0260707635009311;2,6;0,0648148148148148;6,48
