District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Acer negundo;3189866;555;22;0,0396396396396396;4;0,110552763819095;11,06
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Ailanthus altissima;3190653;633;24;0,037914691943128;3,8;0,120603015075377;12,06
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Aponogeton distachyos;5328593;27;1;0,037037037037037;3,7;0,0050251256281407;0,5
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Arundo donax;2703041;5;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Asclepias syriaca;3170247;30;2;0,0666666666666667;6,7;0,0100502512562814;1,01
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Azolla filiculoides;2650107;264;2;0,00757575757575758;0,8;0,0100502512562814;1,01
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Baccharis halimifolia;3129663;130;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Cabomba caroliniana;2882443;11;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Cotoneaster horizontalis;3025617;437;8;0,0183066361556064;1,8;0,0402010050251256;4,02
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Elodea densa;5329263;16;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Pontederia crassipes;2765942;18;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Elaeagnus angustifolia;3039269;179;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Elodea canadensis;2865448;64;2;0,03125;3,1;0,0100502512562814;1,01
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Elodea nuttallii;5329212;591;19;0,0321489001692047;3,2;0,0954773869346734;9,55
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Fallopia baldschuanica;5334351;356;13;0,0365168539325843;3,7;0,0653266331658292;6,53
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Fraxinus pennsylvanica;3172348;46;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Helianthus tuberosus;3119175;300;9;0,03;3;0,0452261306532663;4,52
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Helianthus laetiflorus;3119181;44;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Heracleum mantegazzianum;3034825;2812;64;0,0227596017069701;2,3;0,321608040201005;32,16
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Hydrocotyle ranunculoides;7978544;537;24;0,0446927374301676;4,5;0,120603015075377;12,06
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Impatiens capensis;2891774;56;3;0,0535714285714286;5,4;0,0150753768844221;1,51
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Impatiens glandulifera;2891770;3707;117;0,0315619099001888;3,2;0,587939698492462;58,79
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Koenigia polystachya;8848208;42;1;0,0238095238095238;2,4;0,0050251256281407;0,5
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Laburnum anagyroides;5356345;198;7;0,0353535353535354;3,5;0,0351758793969849;3,52
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Lagarosiphon major;2865565;34;2;0,0588235294117647;5,9;0,0100502512562814;1,01
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Lemna minuta;2867614;883;13;0,014722536806342;1,5;0,0653266331658292;6,53
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Lemna turionifera;2867631;103;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Ludwigia grandiflora;5421039;476;34;0,0714285714285714;7,1;0,170854271356784;17,09
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Ludwigia peploides;5420991;18;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Mahonia aquifolium;3033865;1917;79;0,0412102243088159;4,1;0,396984924623116;39,7
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Myriophyllum aquaticum;5361785;479;38;0,0793319415448852;7,9;0,190954773869347;19,1
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Myriophyllum heterophyllum;5361762;67;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Myriophyllum rubricaule;11742641;16;1;0,0625;6,2;0,0050251256281407;0,5
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Parthenocissus inserta;3039203;423;16;0,0378250591016548;3,8;0,0804020100502513;8,04
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Parthenocissus quinquefolia;3039194;156;5;0,032051282051282;3,2;0,0251256281407035;2,51
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Parthenocissus tricuspidata;3039209;304;14;0,0460526315789474;4,6;0,0703517587939698;7,04
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Pistia stratiotes;2870583;43;0;0;0;0;0
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Prunus laurocerasus;3021496;2255;73;0,0323725055432372;3,2;0,366834170854271;36,68
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Prunus serotina;3021850;6032;178;0,0295092838196286;3;0,894472361809045;89,45
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Reynoutria japonica;2889173;5136;145;0,0282320872274143;2,8;0,728643216080402;72,86
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Reynoutria sachalinensis;2889088;129;2;0,0155038759689922;1,6;0,0100502512562814;1,01
aZS - District 4 (Dijle, Demer, Beneden-Zenne);Reynoutria bohemica;4038485;140;0;0;0;0;0
