District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Acer negundo;3189866;555;14;0,0252252252252252;2,5;0,0843373493975904;8,43
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Ailanthus altissima;3190653;633;21;0,033175355450237;3,3;0,126506024096386;12,65
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Aponogeton distachyos;5328593;27;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Arundo donax;2703041;5;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Asclepias syriaca;3170247;30;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Azolla filiculoides;2650107;264;6;0,0227272727272727;2,3;0,036144578313253;3,61
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Baccharis halimifolia;3129663;130;6;0,0461538461538462;4,6;0,036144578313253;3,61
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Cabomba caroliniana;2882443;11;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Cotoneaster horizontalis;3025617;437;11;0,0251716247139588;2,5;0,0662650602409639;6,63
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Elodea densa;5329263;16;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Pontederia crassipes;2765942;18;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Elaeagnus angustifolia;3039269;179;2;0,0111731843575419;1,1;0,0120481927710843;1,2
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Elodea canadensis;2865448;64;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Elodea nuttallii;5329212;591;4;0,00676818950930626;0,7;0,0240963855421687;2,41
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Fallopia baldschuanica;5334351;356;1;0,00280898876404494;0,3;0,00602409638554217;0,6
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Fraxinus pennsylvanica;3172348;46;2;0,0434782608695652;4,3;0,0120481927710843;1,2
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Helianthus tuberosus;3119175;300;7;0,0233333333333333;2,3;0,0421686746987952;4,22
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Helianthus laetiflorus;3119181;44;0;0;0;0;0
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Heracleum mantegazzianum;3034825;2812;48;0,0170697012802276;1,7;0,289156626506024;28,92
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Hydrocotyle ranunculoides;7978544;537;10;0,0186219739292365;1,9;0,0602409638554217;6,02
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Impatiens capensis;2891774;56;7;0,125;12,5;0,0421686746987952;4,22
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Impatiens glandulifera;2891770;3707;94;0,0253574318856218;2,5;0,566265060240964;56,63
aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne);Koenigia polystachya;8848208;42;0;0;0;0;0
