District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Acer negundo;3189866;555;15;0,027027027027027;2,7;0,112781954887218;11,28
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Ailanthus altissima;3190653;633;25;0,0394944707740916;3,9;0,18796992481203;18,8
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Aponogeton distachyos;5328593;27;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Arundo donax;2703041;5;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Asclepias syriaca;3170247;30;1;0,0333333333333333;3,3;0,0075187969924812;0,75
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Azolla filiculoides;2650107;264;3;0,0113636363636364;1,1;0,0225563909774436;2,26
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Baccharis halimifolia;3129663;130;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Cabomba caroliniana;2882443;11;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Cotoneaster horizontalis;3025617;437;6;0,0137299771167048;1,4;0,0451127819548872;4,51
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Elodea densa;5329263;16;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Pontederia crassipes;2765942;18;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Elaeagnus angustifolia;3039269;179;1;0,00558659217877095;0,6;0,0075187969924812;0,75
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Elodea canadensis;2865448;64;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Elodea nuttallii;5329212;591;11;0,0186125211505922;1,9;0,0827067669172932;8,27
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Fallopia baldschuanica;5334351;356;18;0,050561797752809;5,1;0,135338345864662;13,53
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Fraxinus pennsylvanica;3172348;46;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Helianthus tuberosus;3119175;300;5;0,0166666666666667;1,7;0,037593984962406;3,76
